atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100
123648,Lucas Ronier,CFC,Atacante,7,11.05,-0.78,8.44,10,5.0,True,False,BOT,2.197,valor_oculto,6.805,6.14,1.0,60.5
124358,João Almeida,CFC,Lateral,6,1.0,0.0,0.0,0,0.0,False,False,BOT,1.094,valor_bom,0.0,0.0,0.0,37.0
124834,Ruan Assis,CFC,Atacante,6,1.0,0.0,0.0,0,0.0,False,False,BOT,0.546,valor_bom,0.0,0.0,0.0,60.5
125803,Pedro Morisco,CFC,Goleiro,5,8.04,0.0,5.0,4,0.0,False,False,BOT,0.795,valor_bom,4.42,5.0,0.5,37.6
109127,Tiago Cóser,CFC,Zagueiro,6,4.3,1.64,2.98,8,8.8,True,False,BOT,0.746,valor_bom,2.74,1.1,1.0,36.5
117930,Lavega,CFC,Atacante,6,4.51,0.0,3.03,9,0.0,False,False,BOT,0.303,neutro,2.627,1.25,1.0,60.5
125551,Jean Gabriel,CFC,Meia,6,2.0,0.0,0.0,0,0.0,False,False,BOT,-0.398,neutro,0.0,0.0,0.0,60.8
141337,Lucas Taverna,CFC,Lateral,6,1.0,0.0,0.0,0,0.0,False,False,BOT,1.094,valor_bom,0.0,0.0,0.0,37.0
82730,Marcelo Rangel,REM,Goleiro,7,5.85,1.64,3.1,10,8.9,True,True,VAS,0.732,valor_bom,3.558,2.6,1.0,42.6
112576,Vini Paulista,CFC,Meia,6,3.68,0.32,2.04,10,3.2,True,False,BOT,0.318,neutro,1.95,2.04,1.0,60.8
115840,Benassi,CFC,Goleiro,6,1.0,0.0,0.0,0,0.0,False,False,BOT,0.705,valor_bom,0.0,0.0,0.0,37.6
131279,Thiago Azaf,CFC,Atacante,6,1.0,0.0,0.0,0,0.0,False,False,BOT,0.546,valor_bom,0.0,0.0,0.0,60.5
