atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados
122396,Ryan,COR,Meia,6,3.0,0.0,0.0,0,0.0,False,False,VIT,-1.341,armadilha_leve,0.0,0.0,0.0,16.7,desfavoravel,0.0
84558,Lucas Romero,CRU,Meia,6,7.5,0.0,3.02,5,0.0,False,True,GRE,0.416,neutro,3.716,1.02,0.625,67.3,favoravel,3.13
111690,Matheus Cunha,CRU,Goleiro,7,3.7,0.76,2.43,7,2.9,True,True,GRE,0.837,valor_bom,2.661,0.29,0.875,74.5,favoravel,3.47
105047,João Marcelo,CRU,Zagueiro,6,3.75,0.0,0.9,3,0.0,False,True,GRE,-0.131,neutro,1.628,0.9,0.375,74.2,neutro,0.91
88479,Walace,CRU,Meia,6,4.0,0.0,0.0,0,0.0,False,True,GRE,-2.043,armadilha_forte,0.0,0.0,0.0,67.3,neutro,0.0
124912,Jonathan Jesus,CRU,Zagueiro,7,4.74,-0.07,0.83,3,2.0,True,True,GRE,-0.326,neutro,1.982,0.83,0.375,74.2,neutro,1.1
133543,Gui Negão,COR,Atacante,5,3.97,0.0,1.35,4,0.0,False,False,VIT,-0.198,neutro,1.838,1.35,0.5,16.6,desfavoravel,0.31
93478,Wanderson,CRU,Atacante,6,4.18,-0.02,1.42,10,0.5,True,True,GRE,-0.437,neutro,1.715,0.62,1.0,67.9,neutro,2.33
132264,Arroyo,CRU,Atacante,7,4.77,-1.12,2.29,10,0.9,True,True,GRE,-0.27,neutro,2.198,1.79,1.0,67.9,neutro,2.98
143600,Kauã Moraes,CRU,Lateral,6,6.33,-0.01,4.84,5,2.5,True,True,GRE,0.037,neutro,3.791,2.04,0.625,74.1,favoravel,3.51
117404,Otávio,CRU,Goleiro,6,2.0,0.0,0.0,0,0.0,False,True,GRE,-0.393,neutro,0.0,0.0,0.0,74.5,neutro,0.0
92854,Borré,INT,Atacante,7,6.2,-0.17,2.48,11,0.0,True,True,MIR,0.342,neutro,3.462,1.75,1.0,77.3,favoravel,5.35
114405,Sinisterra,CRU,Atacante,5,5.76,0.0,1.7,1,0.0,False,True,GRE,-0.876,armadilha_leve,2.04,1.7,0.125,67.9,neutro,0.35
113158,Marquinhos,CRU,Atacante,5,4.0,0.0,0.0,0,0.0,False,True,GRE,-2.021,armadilha_forte,0.0,0.0,0.0,67.9,neutro,0.0
139345,Kauã Prates,CRU,Lateral,6,3.39,0.0,0.0,1,0.0,False,True,GRE,0.007,neutro,1.94,0.0,0.125,74.1,favoravel,0.36
146807,Rayan Lelis,CRU,Atacante,6,2.0,0.0,0.0,0,0.0,False,True,GRE,-0.566,armadilha_leve,0.0,0.0,0.0,67.9,neutro,0.0
88136,Ivan,REM,Goleiro,6,4.0,0.0,0.0,0,0.0,False,False,RBB,-1.788,armadilha_forte,0.0,0.0,0.0,45.1,neutro,0.0
86757,Everton,FLA,Atacante,6,6.32,0.0,1.8,5,0.0,False,True,BAH,0.482,neutro,3.653,1.8,0.625,54.0,neutro,2.47
83528,Léo Pereira,FLA,Zagueiro,7,9.96,0.06,4.55,7,3.8,True,True,BAH,0.113,neutro,4.202,2.41,0.875,43.1,neutro,3.17
84816,Varela,FLA,Lateral,7,8.68,0.36,5.14,8,5.0,True,True,BAH,0.621,valor_bom,5.325,3.39,1.0,42.9,neutro,4.57
69783,Danilo,FLA,Zagueiro,6,6.23,-0.73,0.5,3,0.0,True,True,BAH,0.046,neutro,2.971,0.5,0.375,43.1,neutro,0.96
137542,Kaique Kenji,CRU,Atacante,6,1.95,0.0,0.0,3,0.0,False,True,GRE,0.108,neutro,0.638,0.0,0.375,67.9,favoravel,0.32
82627,Luiz Araújo,FLA,Atacante,2,8.24,-0.72,3.75,6,0.5,True,True,BAH,0.511,valor_bom,4.357,1.58,0.75,54.0,neutro,3.53
131967,Villarreal,CRU,Atacante,2,10.52,3.0,6.98,6,15.6,True,True,GRE,1.242,valor_bom,5.741,2.98,0.75,67.9,favoravel,5.85
122660,Japa,CRU,Meia,6,5.93,0.0,5.2,3,0.0,False,True,GRE,1.859,valor_oculto,4.437,3.53,0.375,67.3,favoravel,2.24
143350,Murilo Rhikman,CRU,Meia,6,2.95,0.0,0.5,1,0.0,False,True,GRE,-0.416,neutro,0.797,0.5,0.125,67.3,neutro,0.13
97867,Léo Ortiz,FLA,Zagueiro,7,8.96,-0.28,3.99,9,1.2,True,True,BAH,0.128,neutro,3.947,2.32,1.0,43.1,neutro,3.4
96870,Emerson Royal,FLA,Lateral,6,6.12,0.0,3.92,4,0.0,False,True,BAH,-0.274,neutro,3.397,2.42,0.5,42.9,neutro,1.46
90285,Bruno Henrique,FLA,Atacante,6,6.07,-1.22,1.13,4,-0.8,True,True,BAH,-1.273,armadilha_leve,1.765,1.13,0.5,54.0,neutro,0.95
98873,Samuel Lino,FLA,Atacante,7,11.68,2.01,6.44,9,14.0,True,True,BAH,0.903,valor_bom,5.674,3.0,1.0,54.0,neutro,6.13
87863,Arrascaeta,FLA,Meia,7,15.17,-0.6,4.93,7,1.7,True,True,BAH,-0.72,armadilha_leve,4.514,3.5,0.875,53.1,neutro,4.19
91473,Erick Pulgar,FLA,Meia,5,6.08,0.0,1.53,6,0.0,False,True,BAH,0.225,neutro,3.027,1.53,0.75,53.1,neutro,2.41
88393,Ayrton Lucas,FLA,Lateral,2,7.7,0.0,3.04,5,0.0,False,True,BAH,0.208,neutro,4.56,1.84,0.625,42.9,neutro,2.45
