atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,prob_vitoria,prob_gols
107516,Ênio,CHA,Atacante,6,5.04,0.0,2.93,12,0.0,False,True,SAO,-0.346,neutro,2.72,2.26,1.0,0.264,0.458
140438,David,CHA,Meia,6,1.14,-0.26,0.83,7,0.0,True,True,SAO,1.427,valor_bom,0.919,0.83,0.875,0.264,0.458
121870,Gustavo Talles,CHA,Lateral,6,2.0,0.0,0.0,0,0.0,False,True,SAO,-1.261,armadilha_leve,0.0,0.0,0.0,0.264,0.458
109336,Rafael Carvalheira,CHA,Meia,5,5.7,0.0,2.72,14,0.0,False,True,SAO,0.42,neutro,3.218,2.01,1.0,0.264,0.458
116066,Rubens,CHA,Atacante,6,2.48,0.0,1.38,9,0.0,False,True,SAO,-0.156,neutro,1.171,0.49,1.0,0.264,0.458
130414,Robert,CHA,Meia,5,3.51,0.0,3.0,1,0.0,False,True,SAO,0.433,neutro,2.147,3.0,0.125,0.264,0.458
89837,Lucho Acosta,FLU,Meia,3,9.66,-0.71,4.74,18,-1.3,True,True,REM,0.484,neutro,4.54,2.8,1.0,0.666,0.527
51772,Everton Ribeiro,BAH,Meia,5,8.86,0.0,4.48,16,0.0,False,False,VIT,0.513,valor_bom,4.35,3.23,1.0,0.239,0.479
130843,Arthur Dias,CAP,Zagueiro,7,5.67,-0.78,3.61,19,1.7,True,False,BOT,0.541,valor_bom,3.363,2.5,1.0,0.281,0.461
89274,Andreas Pereira,PAL,Meia,7,11.49,-0.72,4.73,22,0.0,True,True,VAS,-0.024,neutro,4.559,2.46,1.0,0.575,0.504
126471,Barreal,SAN,Meia,7,10.18,-0.62,4.79,17,3.2,True,True,MIR,0.356,neutro,4.566,3.61,1.0,0.499,0.5
110426,Bernabei,INT,Lateral,7,9.63,-1.21,6.13,20,3.2,True,True,CAM,0.924,valor_bom,5.865,3.93,1.0,0.442,0.479
78850,Reinaldo,MIR,Lateral,7,8.86,-0.12,3.28,17,7.2,True,False,SAN,-1.126,armadilha_leve,3.895,1.57,1.0,0.477,0.5
100652,Yuri Alberto,COR,Atacante,5,10.58,0.0,4.1,17,0.0,False,False,CFC,-0.852,armadilha_leve,4.334,2.1,1.0,0.211,0.384
99552,Rossi,FLA,Goleiro,7,8.57,-0.39,4.93,21,4.2,True,False,CRU,0.564,valor_bom,4.706,2.79,1.0,0.157,0.469
89368,Braithwaite,GRE,Atacante,6,5.48,0.0,0.3,13,0.0,False,False,RBB,-2.742,armadilha_forte,1.102,0.3,1.0,0.145,0.504
80287,Luciano,SAO,Atacante,7,12.8,-0.09,4.88,18,4.7,True,False,CHA,-0.862,armadilha_leve,4.865,1.94,1.0,0.27,0.458
39148,Hulk,FLU,Atacante,7,12.39,1.23,5.06,16,11.3,True,True,REM,-0.587,armadilha_leve,4.983,2.62,1.0,0.666,0.527
122781,Caballero,SAN,Atacante,2,4.68,0.14,2.82,4,3.7,True,True,MIR,-0.331,neutro,2.543,2.82,0.5,0.499,0.5
115025,Miguelito,SAN,Meia,6,7.41,0.0,4.88,8,0.0,False,True,MIR,1.212,valor_bom,4.485,3.0,1.0,0.499,0.5
141776,Gustavo Henrique,SAN,Meia,6,2.89,0.41,1.72,9,3.5,True,True,MIR,-0.012,neutro,1.38,1.72,1.0,0.499,0.5
133673,Mateus Xavier,SAN,Atacante,6,2.33,0.0,1.2,1,0.0,False,True,MIR,-0.248,neutro,0.965,1.2,0.125,0.499,0.5
118655,Saldivia,VAS,Zagueiro,6,5.83,0.0,2.55,11,0.0,False,False,PAL,-0.463,neutro,2.646,2.28,1.0,0.351,0.504
142130,Marcelo Eráclito,CRU,Goleiro,6,1.0,0.0,0.0,0,0.0,False,True,FLA,0.281,neutro,0.0,0.0,0.0,0.311,0.469
114802,Vitor Roque,PAL,Atacante,7,14.27,-1.25,5.28,11,-0.6,True,True,VAS,-0.975,armadilha_leve,5.09,3.1,1.0,0.575,0.504
86292,Bolasie,CHA,Atacante,5,4.49,0.0,2.21,16,0.0,False,True,SAO,-0.544,armadilha_leve,2.275,1.4,1.0,0.264,0.458
146991,Rhuan Gabriel,CRU,Meia,6,1.39,0.0,1.2,1,0.0,False,True,FLA,1.18,valor_bom,1.02,1.2,0.125,0.311,0.469
144423,Nicolas Pontes,CRU,Lateral,6,1.0,0.0,0.0,0,0.0,False,True,FLA,0.265,neutro,0.0,0.0,0.0,0.311,0.469
106104,Enamorado,GRE,Atacante,6,6.68,0.0,3.31,18,0.0,False,False,RBB,0.071,neutro,3.778,2.75,1.0,0.145,0.504
94583,Pedro,FLA,Atacante,7,18.08,2.66,8.73,21,20.2,True,False,CRU,1.48,valor_bom,7.654,2.44,1.0,0.157,0.469
103445,Kaio Jorge,CRU,Atacante,7,10.55,-1.25,4.62,17,1.0,True,True,FLA,-0.38,neutro,4.687,1.8,1.0,0.311,0.469
126182,Paulinho,INT,Meia,6,4.21,0.37,2.01,17,3.0,True,True,CAM,-0.206,neutro,2.02,2.01,1.0,0.442,0.479
126120,Marcelinho,RBB,Meia,6,3.16,0.0,2.18,5,0.0,False,True,GRE,-0.148,neutro,1.452,1.18,0.625,0.539,0.504
115986,Denilson,MIR,Meia,6,4.5,-0.58,3.34,14,-1.7,True,False,SAN,0.652,valor_bom,2.868,2.98,1.0,0.477,0.5
133696,Wallace Davi,BOT,Meia,6,4.0,0.0,0.0,0,0.0,False,True,CAP,-2.546,armadilha_forte,0.0,0.0,0.0,0.414,0.461
130280,Phillipe Gabriel,VAS,Goleiro,6,1.0,0.0,0.0,0,0.0,False,False,PAL,0.281,neutro,0.0,0.0,0.0,0.351,0.504
128433,Johan Rojas,VAS,Meia,6,3.78,0.0,1.58,16,0.0,False,False,PAL,-0.268,neutro,1.734,1.27,1.0,0.351,0.504
108713,Galeano,REM,Atacante,6,4.43,0.01,1.24,11,1.7,True,False,FLU,-1.212,armadilha_leve,1.73,1.24,1.0,0.313,0.527
101908,Willian Machado,MIR,Zagueiro,7,5.54,0.2,3.58,16,3.6,True,False,SAN,0.544,valor_bom,3.312,2.71,1.0,0.477,0.5
145400,Cauê,RBB,Lateral,6,4.23,0.0,3.47,3,0.0,False,True,GRE,0.766,valor_bom,3.478,2.47,0.375,0.539,0.504
94154,Maycon,CAM,Meia,7,5.31,0.03,2.52,14,1.5,True,False,INT,-0.449,neutro,2.346,1.81,1.0,0.174,0.479
94514,Lucas Oliveira,MIR,Zagueiro,6,5.07,0.0,3.13,8,0.0,False,False,SAN,0.342,neutro,2.954,2.0,1.0,0.477,0.5
131516,JP Chermont,CFC,Lateral,7,4.8,0.29,2.72,13,2.9,True,True,COR,-0.177,neutro,3.01,1.64,1.0,0.307,0.384
102909,Luan,SAO,Meia,6,2.69,0.0,0.96,7,0.0,False,False,CHA,-0.325,neutro,0.98,0.96,0.875,0.27,0.458
