atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados,oportunidade_confronto,vantagem_mando,time_momentum_of,time_momentum_def,adv_momentum_of,adv_momentum_def,forma_score_time,prob_vitoria,prob_gols
147544,Gabriel Menegon,GRE,Goleiro,6,1.81,0.0,0.0,1,0.0,False,True,VAS,2.524,valor_oculto,3.592,0.0,0.125,69.9,favoravel,3.72,0.75,52.8,0.926,1.061,0.741,1.125,0.35,0.287,
150995,Sayago,FLA,Meia,6,2.0,0.0,0.0,0,0.0,False,True,COR,-0.855,armadilha_leve,0.0,0.0,0.0,60.2,neutro,1.35,0.225,36.1,1.224,0.743,0.963,1.348,0.85,0.699,
141125,Robert,CAM,Goleiro,6,1.0,0.0,0.0,0,0.0,False,True,FLU,0.168,neutro,0.0,0.0,0.0,61.1,favoravel,1.37,0.25,33.4,1.094,0.833,1.3,1.137,0.55,0.459,
141536,Yuri Alves,RBB,Meia,6,1.55,0.0,1.05,4,0.0,False,False,BOT,0.927,valor_bom,1.073,1.05,0.5,48.7,neutro,1.79,0.9,-5.5,0.806,1.429,0.405,1.0,0.275,0.307,
145703,Kaio Nóbrega,FLA,Meia,6,1.0,0.0,0.0,0,0.0,False,True,COR,0.444,neutro,0.0,0.0,0.0,60.2,favoravel,1.35,0.225,36.1,1.224,0.743,0.963,1.348,0.85,0.699,
150959,Davizinho,SAN,Lateral,6,2.01,0.0,1.62,4,0.0,False,True,CRU,0.926,valor_bom,1.767,0.87,0.5,49.6,neutro,2.2,0.4,1.5,1.081,0.658,1.505,0.984,0.8,0.333,0.5
147736,Pepê Fermino,SAN,Meia,6,1.0,0.0,0.0,0,0.0,False,True,CRU,0.444,neutro,0.0,0.0,0.0,55.2,neutro,1.27,0.725,1.5,1.081,0.658,1.505,0.984,0.8,0.333,0.5
151003,Eduardo,PAL,Atacante,6,1.0,0.0,0.0,0,0.0,False,True,SAO,0.607,valor_bom,0.0,0.0,0.0,46.2,neutro,1.11,0.3,51.9,0.809,1.238,0.968,0.893,0.525,0.56,0.464
148126,Weimar Palacios,RBB,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,False,BOT,0.19,neutro,0.0,0.0,0.0,50.9,neutro,1.19,0.375,-5.5,0.806,1.429,0.405,1.0,0.275,0.307,
144889,Victor Gabriel,PAL,Meia,6,1.0,0.0,0.0,0,0.0,False,True,SAO,0.444,neutro,0.0,0.0,0.0,46.1,neutro,1.11,0.3,51.9,0.809,1.238,0.968,0.893,0.525,0.56,0.464
144255,João Alencar,SAN,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,True,CRU,0.19,neutro,0.0,0.0,0.0,48.4,neutro,1.15,0.4,1.5,1.081,0.658,1.505,0.984,0.8,0.333,0.5
130279,Lukas Zuccarello,VAS,Meia,6,2.32,0.0,1.3,1,0.0,False,False,GRE,0.122,neutro,1.108,1.3,0.125,33.7,desfavoravel,1.6,0.6,-52.8,0.741,1.125,0.926,1.061,0.3,0.408,
145413,Rafael Coutinho,PAL,Meia,6,1.0,0.0,0.0,0,0.0,False,True,SAO,0.444,neutro,0.0,0.0,0.0,46.1,neutro,1.11,0.3,51.9,0.809,1.238,0.968,0.893,0.525,0.56,0.464
107203,Max,CHA,Meia,5,4.39,0.0,1.85,2,0.0,False,True,INT,-0.189,neutro,2.165,1.85,0.25,55.1,neutro,2.89,0.55,0.0,1.481,0.9,0.929,1.071,0.575,0.253,0.509
108946,Victor Sá,SAO,Atacante,6,6.08,0.0,2.7,4,0.0,False,False,PAL,0.783,valor_bom,4.107,1.45,0.5,28.5,desfavoravel,3.28,0.15,-51.9,0.968,0.893,0.809,1.238,0.625,0.181,0.464
146663,Kauan Lima,PAL,Goleiro,6,1.0,0.0,0.0,0,0.0,False,True,SAO,0.168,neutro,0.0,0.0,0.0,64.8,favoravel,1.43,0.8,51.9,0.809,1.238,0.968,0.893,0.525,0.56,0.464
94214,Léo Duarte,CAM,Zagueiro,6,5.0,0.0,0.0,0,0.0,False,True,FLU,-3.238,armadilha_forte,0.0,0.0,0.0,61.5,neutro,1.38,0.25,33.4,1.094,0.833,1.3,1.137,0.55,0.459,
97101,Gabriel Rojas,CRU,Lateral,7,5.91,-0.81,3.02,6,-0.5,True,False,SAN,-0.419,neutro,3.306,2.52,0.75,59.4,neutro,3.09,0.6,-1.5,1.505,0.984,1.081,0.658,0.75,0.381,0.5
114208,Alejo Véliz,BAH,Atacante,7,8.1,0.69,6.31,7,10.7,True,True,REM,1.551,valor_oculto,5.51,2.17,0.875,82.2,favoravel,5.23,0.95,30.7,1.43,1.137,1.04,1.088,0.875,0.656,
151120,Jorge Rivaldo,CAP,Atacante,6,3.52,0.0,0.17,3,0.0,False,False,CFC,-1.618,armadilha_forte,0.776,0.17,0.375,60.2,neutro,1.82,0.8,-2.3,1.449,2.09,1.459,1.279,0.45,,
106907,Rafael Lacerda,CHA,Técnico,7,8.57,0.08,5.35,7,5.77,True,True,INT,0.05,neutro,5.111,5.35,0.875,54.4,neutro,3.24,0.55,0.0,1.481,0.9,0.929,1.071,0.575,0.253,0.509
37715,Thiago Silva,FLU,Zagueiro,6,6.83,0.0,3.1,3,0.0,False,False,CAM,0.353,neutro,3.718,2.1,0.375,41.6,neutro,3.88,0.2,-33.4,1.3,1.137,1.094,0.833,0.825,0.245,
102310,Matheus Felipe,REM,Zagueiro,6,4.14,0.0,2.7,2,0.0,False,False,BAH,0.483,neutro,2.723,1.2,0.25,30.1,desfavoravel,2.52,0.45,-30.7,1.04,1.088,1.43,1.137,0.125,0.14,
130443,Luciano,CHA,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,True,INT,0.19,neutro,0.0,0.0,0.0,60.8,neutro,1.36,0.55,0.0,1.481,0.9,0.929,1.071,0.575,0.253,0.509
98617,Maripán,INT,Zagueiro,7,4.25,0.0,2.5,7,0.0,False,False,CHA,0.297,neutro,2.622,1.64,0.875,39.6,neutro,2.78,0.55,0.0,0.929,1.071,1.481,0.9,0.225,0.475,0.509
151294,Juan Ferreira,CHA,Meia,6,1.0,0.0,0.0,0,0.0,False,True,INT,0.444,neutro,0.0,0.0,0.0,55.1,neutro,1.27,0.55,0.0,1.481,0.9,0.929,1.071,0.575,0.253,0.509
130307,Wallace,GRE,Zagueiro,7,4.82,-0.67,3.06,5,1.2,True,True,VAS,0.254,neutro,2.856,1.86,0.625,70.3,favoravel,3.96,0.75,52.8,0.926,1.061,0.741,1.125,0.35,0.287,
120681,Marco Moreno,BAH,Zagueiro,6,4.0,0.0,0.0,0,0.0,False,True,REM,-2.669,armadilha_forte,0.0,0.0,0.0,70.4,neutro,1.53,0.55,30.7,1.43,1.137,1.04,1.088,0.875,0.656,
99267,Pochettino,VIT,Meia,6,4.62,-0.78,2.2,7,-0.3,True,False,MIR,-0.254,neutro,2.223,2.2,0.875,46.6,neutro,2.34,0.95,-38.4,0.624,0.843,0.897,1.3,0.45,0.21,
124369,Léo Aragão,CRU,Goleiro,6,2.0,0.0,0.0,0,0.0,False,False,SAN,-0.868,armadilha_leve,0.0,0.0,0.0,57.5,neutro,1.31,0.6,-1.5,1.505,0.984,1.081,0.658,0.75,0.381,0.5
106199,Gabriel Pec,CRU,Atacante,5,7.94,0.0,4.1,1,0.0,False,False,SAN,0.648,valor_bom,4.731,4.1,0.125,57.8,neutro,4.22,0.725,-1.5,1.505,0.984,1.081,0.658,0.75,0.381,0.5
123445,Dantas,CAP,Zagueiro,6,5.1,-1.28,2.92,4,-0.9,True,False,CFC,0.031,neutro,2.792,1.67,0.5,35.2,neutro,2.59,0.65,-2.3,1.449,2.09,1.459,1.279,0.45,,
101995,Brítez,VIT,Zagueiro,2,5.71,0.79,3.18,6,6.5,True,False,MIR,-0.112,neutro,2.922,2.18,0.75,35.7,desfavoravel,3.6,0.75,-38.4,0.624,0.843,0.897,1.3,0.45,0.21,
112985,Peralta,CRU,Meia,5,4.0,0.0,0.0,0,0.0,False,False,SAN,-2.492,armadilha_forte,0.0,0.0,0.0,58.8,neutro,1.33,0.725,-1.5,1.505,0.984,1.081,0.658,0.75,0.381,0.5
105901,Edson Fernando,REM,Meia,3,1.76,-0.86,-1.05,2,-1.8,True,False,BAH,0.184,neutro,0.657,0.0,0.25,33.5,desfavoravel,1.31,0.375,-30.7,1.04,1.088,1.43,1.137,0.125,0.14,
103626,Ocampo,CFC,Atacante,5,4.51,0.0,1.1,3,0.0,False,True,CAP,-0.674,armadilha_leve,2.153,1.1,0.375,62.3,neutro,2.64,0.55,2.3,1.459,1.279,1.449,2.09,0.55,,
109114,Matheus Nascimento,GRE,Atacante,6,4.0,0.0,0.0,0,0.0,False,True,VAS,-2.982,armadilha_forte,0.0,0.0,0.0,60.5,neutro,1.36,0.9,52.8,0.926,1.061,0.741,1.125,0.35,0.287,
117061,Gabriel Knesowitsch,MIR,Zagueiro,7,1.46,-0.14,-0.28,5,0.0,True,True,VIT,0.573,valor_bom,0.865,0.0,0.625,67.8,favoravel,1.58,0.9,38.4,0.897,1.3,0.624,0.843,0.475,0.532,
