atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados,oportunidade_confronto,vantagem_mando,time_momentum_of,time_momentum_def,adv_momentum_of,adv_momentum_def,forma_score_time,prob_vitoria,prob_gols
130307,Wallace,GRE,Zagueiro,7,6.08,3.08,8.7,1,8.7,True,False,CAM,1.69,valor_oculto,4.465,2.7,0.125,17.2,desfavoravel,3.25,0.35,-46.0,1.4,1.4,0.933,0.778,0.525,0.0,0.467
151003,Eduardo,PAL,Atacante,6,1.0,0.0,0.0,0,0.0,False,False,FLU,0.604,valor_bom,0.0,0.0,0.0,51.0,neutro,0.97,0.425,0.0,1.042,0.825,0.568,0.677,0.65,0.0,
145413,Rafael Coutinho,PAL,Meia,6,1.0,0.0,0.0,0,0.0,False,False,FLU,0.535,valor_bom,0.0,0.0,0.0,48.5,neutro,0.87,0.425,0.0,1.042,0.825,0.568,0.677,0.65,0.0,
97101,Gabriel Rojas,CRU,Lateral,7,6.83,-1.38,3.85,4,0.5,True,False,COR,-0.644,armadilha_leve,3.553,3.1,0.5,38.6,desfavoravel,2.75,0.95,-7.8,1.027,0.568,1.65,0.44,0.75,0.0,
141536,Yuri Alves,RBB,Meia,6,1.48,0.48,1.5,1,1.5,True,False,CAP,1.148,valor_bom,1.078,1.5,0.125,25.0,desfavoravel,0.68,0.05,-32.1,1.131,0.764,1.027,0.232,0.475,0.0,0.434
94214,Léo Duarte,CAM,Zagueiro,5,5.0,0.0,0.0,0,0.0,False,True,GRE,-3.113,armadilha_forte,0.0,0.0,0.0,67.4,neutro,1.65,0.9,46.0,0.933,0.778,1.4,1.4,0.65,0.519,0.467
146663,Kauan Lima,PAL,Goleiro,6,1.0,0.0,0.0,0,0.0,False,False,FLU,0.266,neutro,0.0,0.0,0.0,54.5,neutro,1.12,0.225,0.0,1.042,0.825,0.568,0.677,0.65,0.0,
107203,Max,CHA,Meia,6,4.39,-0.51,1.85,2,0.5,True,True,BAH,-0.464,neutro,1.928,1.85,0.25,27.1,neutro,1.85,0.475,-26.7,0.63,1.074,0.607,0.352,0.125,0.275,
151120,Jorge Rivaldo,CAP,Atacante,6,4.42,0.0,-0.3,1,0.0,False,True,RBB,-0.673,armadilha_leve,1.955,0.0,0.125,55.1,neutro,2.47,0.2,32.1,1.027,0.232,1.131,0.764,0.875,0.445,0.434
102310,Matheus Felipe,REM,Zagueiro,6,4.14,-0.51,2.7,2,0.5,True,False,INT,0.531,valor_bom,2.655,1.2,0.25,48.2,neutro,2.62,0.85,-12.2,1.015,0.856,0.574,1.304,0.45,0.0,
106907,Rafael Lacerda,CHA,Técnico,7,7.72,-0.32,3.34,3,3.15,True,True,BAH,-1.076,armadilha_leve,4.295,3.34,0.375,29.3,neutro,2.56,0.475,-26.7,0.63,1.074,0.607,0.352,0.125,0.275,
37715,Thiago Silva,FLU,Zagueiro,6,7.07,0.0,2.5,2,0.0,False,True,PAL,0.309,neutro,3.648,1.0,0.25,50.4,neutro,3.31,0.0,0.0,0.568,0.677,1.042,0.825,0.5,0.347,
