atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados,oportunidade_confronto,vantagem_mando,time_momentum_of,time_momentum_def,adv_momentum_of,adv_momentum_def,forma_score_time,prob_vitoria,prob_gols
132750,João Pedro,SAN,Goleiro,6,1.0,0.0,0.0,0,0.0,False,False,INT,0.135,neutro,0.0,0.0,0.0,59.9,neutro,1.51,0.9,-5.6,0.988,0.667,0.769,0.806,0.675,0.231,0.496
129665,Pablo,VAS,Goleiro,6,1.0,0.0,0.0,0,0.0,False,False,FLU,0.135,neutro,0.0,0.0,0.0,20.9,desfavoravel,0.52,0.125,-61.7,0.889,1.108,1.154,1.094,0.425,0.228,
150180,Ramon Rique,VAS,Meia,6,3.35,0.9,2.57,6,4.7,True,False,FLU,-0.054,neutro,1.711,0.9,0.75,39.2,desfavoravel,1.91,0.5,-61.7,0.889,1.108,1.154,1.094,0.425,0.228,
148092,Vitor Ramon,GRE,Lateral,6,1.0,0.0,0.2,1,0.0,False,False,VIT,2.524,valor_oculto,1.711,0.2,0.125,44.8,neutro,2.14,0.7,-58.3,1.067,1.05,0.417,1.351,0.5,0.264,0.455
145660,Luiz Felipe,INT,Lateral,6,1.65,0.0,1.45,2,0.0,False,True,SAN,1.469,valor_bom,1.81,1.45,0.25,56.3,neutro,2.45,0.1,5.6,0.769,0.806,0.988,0.667,0.35,0.5,0.496
142868,Johnny,FLA,Lateral,6,0.89,0.0,0.0,1,0.0,False,False,REM,2.733,valor_oculto,1.689,0.0,0.125,62.6,neutro,2.57,0.55,22.6,1.2,0.914,1.167,1.19,0.7,0.586,
51413,Walter,MIR,Goleiro,7,5.06,-0.82,2.69,20,1.6,True,False,CFC,0.127,neutro,3.086,2.44,1.0,22.7,desfavoravel,3.2,0.8,-31.8,1.067,1.427,1.212,0.909,0.375,0.291,
150825,Breno,RBB,Zagueiro,6,2.8,0.0,3.35,2,0.0,False,True,BAH,0.613,valor_bom,2.001,1.85,0.25,46.8,neutro,2.33,0.15,2.8,0.497,0.96,1.081,0.833,0.4,0.467,
150826,Nícollas,COR,Atacante,6,1.0,0.0,0.0,0,0.0,False,True,CHA,0.562,valor_bom,0.0,0.0,0.0,64.3,favoravel,1.62,0.85,37.9,0.769,1.0,1.536,0.98,0.2,0.682,0.489
143255,Kauan Vitor,VIT,Lateral,6,1.0,0.0,0.0,0,0.0,False,True,GRE,0.31,neutro,0.0,0.0,0.0,61.1,favoravel,1.54,0.95,58.3,0.417,1.351,1.067,1.05,0.2,0.457,0.455
150757,Samuel Pierri,SAN,Meia,6,1.88,0.0,0.45,2,0.0,False,False,INT,0.484,neutro,0.944,0.45,0.25,46.3,neutro,1.72,0.425,-5.6,0.988,0.667,0.769,0.806,0.675,0.231,0.496
143253,Wendell,VIT,Meia,6,2.0,0.0,0.0,0,0.0,False,True,GRE,-0.929,armadilha_leve,0.0,0.0,0.0,48.2,neutro,1.21,0.55,58.3,0.417,1.351,1.067,1.05,0.2,0.457,0.455
147792,Koné,PAL,Zagueiro,6,2.0,0.0,0.0,0,0.0,False,False,BOT,-1.179,armadilha_leve,0.0,0.0,0.0,69.4,neutro,1.75,0.05,15.6,1.222,1.19,0.519,0.96,0.575,0.43,0.496
150952,Arthur Monteiro,CAP,Lateral,6,1.0,0.0,0.0,0,0.0,False,False,CRU,0.31,neutro,0.0,0.0,0.0,37.6,desfavoravel,0.94,0.4,-9.2,1.216,1.2,1.286,0.833,0.7,0.206,0.454
144898,Vitinho,CAP,Lateral,6,1.0,0.0,0.0,0,0.0,False,False,CRU,0.31,neutro,0.0,0.0,0.0,37.6,desfavoravel,0.94,0.4,-9.2,1.216,1.2,1.286,0.833,0.7,0.206,0.454
144255,João Alencar,SAN,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,False,INT,0.259,neutro,0.0,0.0,0.0,59.7,neutro,1.5,0.9,-5.6,0.988,0.667,0.769,0.806,0.675,0.231,0.496
147877,Cauan Farias,VIT,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,True,GRE,0.259,neutro,0.0,0.0,0.0,59.8,neutro,1.51,0.95,58.3,0.417,1.351,1.067,1.05,0.2,0.457,0.455
150959,Davizinho,SAN,Lateral,6,2.01,0.94,1.62,4,5.0,True,False,INT,0.929,valor_bom,1.807,0.87,0.5,61.0,neutro,2.48,0.9,-5.6,0.988,0.667,0.769,0.806,0.675,0.231,0.496
130279,Lukas Zuccarello,VAS,Meia,6,2.32,0.0,1.3,1,0.0,False,False,FLU,0.145,neutro,1.093,1.3,0.125,39.2,desfavoravel,1.64,0.5,-61.7,0.889,1.108,1.154,1.094,0.425,0.228,
150995,Sayago,FLA,Meia,6,2.0,0.0,0.0,0,0.0,False,False,REM,-0.929,armadilha_leve,0.0,0.0,0.0,75.5,neutro,1.91,0.8,22.6,1.2,0.914,1.167,1.19,0.7,0.586,
148126,Weimar Palacios,RBB,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,True,BAH,0.259,neutro,0.0,0.0,0.0,46.8,neutro,1.18,0.15,2.8,0.497,0.96,1.081,0.833,0.4,0.467,
131766,Filipinho,RBB,Atacante,6,1.0,0.0,0.0,0,0.0,False,True,BAH,0.562,valor_bom,0.0,0.0,0.0,36.7,neutro,0.92,0.4,2.8,0.497,0.96,1.081,0.833,0.4,0.467,
147736,Pepê Fermino,SAN,Meia,5,1.0,0.0,0.0,0,0.0,False,False,INT,0.605,valor_bom,0.0,0.0,0.0,46.3,neutro,1.16,0.425,-5.6,0.988,0.667,0.769,0.806,0.675,0.231,0.496
145703,Kaio Nóbrega,FLA,Meia,6,1.0,0.0,0.0,0,0.0,False,False,REM,0.605,valor_bom,0.0,0.0,0.0,75.5,favoravel_visitante,1.91,0.8,22.6,1.2,0.914,1.167,1.19,0.7,0.586,
147544,Gabriel Menegon,GRE,Goleiro,6,1.81,0.0,0.0,1,0.0,False,False,VIT,2.384,valor_oculto,3.57,0.0,0.125,43.9,neutro,3.21,0.7,-58.3,1.067,1.05,0.417,1.351,0.5,0.264,0.455
97101,Gabriel Rojas,CRU,Lateral,6,6.72,-0.11,3.72,5,3.2,True,True,CAP,-0.755,armadilha_leve,3.566,3.12,0.625,56.3,neutro,3.18,0.375,9.2,1.286,0.833,1.216,1.2,0.7,0.521,0.454
