nome,clube,clube_id,posicao,status_id,status_label,preco,min_valorizar,media,media_bayesiana,variacao,jogos,pb_media,resiliencia_pct,confiabilidade,custo_beneficio,cb_rank,mandante,adversario,tendencia,residuo_z,armadilha_label,time_pos,adv_pos,vantagem_mando,oportunidade_confronto,time_momentum_of,time_momentum_def,forma_score_time,sequencia_time,adv_momentum_of,adv_momentum_def,score_confronto_z,score_confronto_100
Barros,VAS,267,Meia,7,Provável,10.0,20.0,8.06,5.241,-1.94,7,5.92,0.734,0.875,0.459,35,True,BOT,baixa,1.685,valor_oculto,,,,,,,,,,,0.0,50.0
Camutanga,VIT,287,Zagueiro,7,Provável,7.21,16.6,4.53,3.711,-1.05,6,3.03,0.669,0.75,0.386,32,False,CHA,baixa,0.614,valor_bom,,,,,,,,,,,0.0,50.0
Jair Ventura,VIT,287,Técnico,7,Provável,7.83,18.0,5.2,5.341,-0.94,7,5.2,1.0,0.875,0.597,5,False,CHA,baixa,0.824,valor_bom,,,,,,,,,,,0.0,50.0
Renato Kayzer,VIT,287,Atacante,7,Provável,7.27,16.7,3.72,3.428,0.0,5,0.52,0.14,0.625,0.295,85,False,CHA,estavel,0.308,neutro,,,,,,,,,,,0.0,50.0
Andreas Pereira,PAL,275,Meia,7,Provável,15.25,27.4,7.57,5.313,0.73,9,2.57,0.339,1.0,0.348,90,False,BAH,alta,0.183,neutro,,,,,,,,,,,0.0,50.0
Caíque,VIT,287,Meia,7,Provável,4.49,10.3,1.58,2.315,0.0,5,1.58,1.0,0.625,0.322,104,False,CHA,estavel,0.27,neutro,,,,,,,,,,,0.0,50.0
Lucas Arcanjo,VIT,287,Goleiro,7,Provável,8.31,16.6,6.22,4.798,-1.8,5,4.22,0.678,0.625,0.361,20,False,CHA,baixa,0.765,valor_bom,,,,,,,,,,,0.0,50.0
Ronald Lopes,VIT,287,Meia,7,Provável,4.36,10.0,-0.6,2.4,0.0,1,0.0,0.0,0.125,0.069,181,False,CHA,estavel,0.398,neutro,,,,,,,,,,,0.0,50.0
Mendoza,CAP,293,Atacante,7,Provável,8.53,17.1,5.35,4.228,0.54,7,1.92,0.359,0.875,0.434,43,False,CAM,alta,0.684,valor_bom,,,,,,,,,,,0.0,50.0
Jadson,CAP,293,Meia,7,Provável,3.7,10.4,1.15,2.079,-0.97,6,1.15,1.0,0.75,0.421,55,False,CAM,baixa,0.26,neutro,,,,,,,,,,,0.0,50.0
Edenílson,VIT,287,Meia,7,Provável,4.14,9.5,2.8,2.78,0.31,2,2.8,1.0,0.25,0.168,159,False,CHA,estavel,0.863,valor_bom,,,,,,,,,,,0.0,50.0
Odair Hellmann,CAP,293,Técnico,7,Provável,7.88,18.1,5.33,5.402,-1.02,7,5.33,1.0,0.875,0.6,4,False,CAM,baixa,0.866,valor_bom,,,,,,,,,,,0.0,50.0
Esquivel,CAP,293,Lateral,7,Provável,6.83,15.7,4.46,4.34,0.0,5,1.86,0.417,0.625,0.397,38,False,CAM,estavel,0.44,neutro,,,,,,,,,,,0.0,50.0
Benavídez,CAP,293,Lateral,7,Provável,6.61,15.2,4.74,4.486,-1.61,7,2.45,0.517,0.875,0.594,11,False,CAM,baixa,0.626,valor_bom,,,,,,,,,,,0.0,50.0
