nome,clube,clube_id,posicao,status_id,status_label,preco,min_valorizar,media,media_bayesiana,variacao,jogos,pb_media,resiliencia_pct,confiabilidade,custo_beneficio,cb_rank,mandante,adversario,tendencia,residuo_z,armadilha_label,time_pos,adv_pos,vantagem_mando,oportunidade_confronto,time_momentum_of,time_momentum_def,forma_score_time,sequencia_time,adv_momentum_of,adv_momentum_def,score_confronto_z,score_confronto_100
Artur Jorge,CRU,283,Técnico,7,Provável,12.66,25.3,9.78,5.944,2.9,1,9.78,1.0,0.125,0.059,19,False,SAO,alta,-0.434,neutro,,,,,,,,,,,0.0,50.0
Tarzia,VIT,287,Atacante,7,Provável,2.31,6.5,0.3,2.443,-0.41,3,0.3,1.0,0.375,0.397,58,False,CHA,estavel,0.752,valor_bom,,,,,,,,,,,0.0,50.0
Mayk,REM,364,Lateral,7,Provável,6.02,13.8,3.8,4.213,1.02,1,3.8,1.0,0.125,0.087,88,False,GRE,alta,0.608,valor_bom,,,,,,,,,,,0.0,50.0
Rodrigo Bellão,BOT,263,Técnico,7,Provável,10.76,21.5,6.24,5.551,1.58,1,6.24,1.0,0.125,0.064,18,False,VAS,alta,-0.096,neutro,,,,,,,,,,,0.0,50.0
Celso Rodrigues,CHA,315,Técnico,7,Provável,6.2,14.3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,20,True,VIT,estavel,-3.927,armadilha_forte,,,,,,,,,,,0.0,50.0
David Braga,REM,364,Meia,7,Provável,3.58,10.0,2.2,2.711,0.58,1,2.2,1.0,0.125,0.095,176,False,GRE,alta,0.959,valor_bom,,,,,,,,,,,0.0,50.0
Igor Formiga,MIR,2305,Lateral,7,Provável,8.96,17.9,5.33,4.762,1.82,7,3.62,0.679,0.875,0.465,21,True,RBB,alta,0.066,neutro,,,,,,,,,,,0.0,50.0
Alef Manga,REM,364,Atacante,7,Provável,8.45,16.9,5.7,4.545,-0.55,9,2.26,0.396,1.0,0.538,16,False,GRE,baixa,0.987,valor_bom,,,,,,,,,,,0.0,50.0
Villalba,CRU,283,Zagueiro,7,Provável,7.96,18.3,2.88,3.004,0.67,6,1.88,0.653,0.75,0.283,48,False,SAO,alta,-0.331,neutro,,,,,,,,,,,0.0,50.0
Martinelli,FLU,266,Meia,7,Provável,6.76,15.5,2.56,2.661,0.77,9,2.0,0.781,1.0,0.394,69,False,CFC,alta,-0.049,neutro,,,,,,,,,,,0.0,50.0
Erick,VIT,287,Atacante,7,Provável,8.33,16.7,4.39,3.78,-0.3,7,1.82,0.415,0.875,0.397,58,False,CHA,estavel,0.339,neutro,,,,,,,,,,,0.0,50.0
Arthur Cabral,BOT,263,Atacante,7,Provável,9.95,19.9,5.6,4.151,1.31,5,1.4,0.25,0.625,0.261,96,False,VAS,alta,0.238,neutro,,,,,,,,,,,0.0,50.0
Christian,CRU,283,Meia,7,Provável,9.73,19.5,5.23,4.075,2.25,9,3.56,0.681,1.0,0.419,56,False,SAO,alta,0.543,valor_bom,,,,,,,,,,,0.0,50.0
Gabriel Brazão,SAN,277,Goleiro,7,Provável,6.97,16.0,3.29,3.599,0.62,8,2.04,0.62,1.0,0.516,7,False,FLA,alta,0.368,neutro,,,,,,,,,,,0.0,50.0
Rafael,SAO,276,Goleiro,7,Provável,8.17,16.3,3.95,3.931,0.2,9,2.28,0.577,1.0,0.481,10,True,CRU,estavel,0.01,neutro,,,,,,,,,,,0.0,50.0
Santos,CAP,293,Goleiro,7,Provável,8.4,16.8,4.23,4.059,-1.39,7,2.8,0.662,0.875,0.423,18,False,CAM,baixa,0.004,neutro,,,,,,,,,,,0.0,50.0
Everson,CAM,282,Goleiro,7,Provável,11.34,22.7,6.31,5.18,1.05,9,4.09,0.648,1.0,0.457,13,True,CAP,alta,-0.577,armadilha_leve,,,,,,,,,,,0.0,50.0
Renan Lodi,CAM,282,Lateral,7,Provável,11.32,22.6,5.57,4.956,1.2,9,4.01,0.72,1.0,0.438,27,True,CAP,alta,-0.561,armadilha_leve,,,,,,,,,,,0.0,50.0
Léo Jardim,VAS,267,Goleiro,7,Provável,6.44,14.8,1.9,2.845,0.05,9,1.9,1.0,1.0,0.442,15,True,BOT,estavel,-0.059,neutro,,,,,,,,,,,0.0,50.0
Carrascal,FLA,262,Meia,7,Provável,9.96,19.9,4.01,3.351,0.0,7,3.3,0.823,0.875,0.294,115,True,SAN,estavel,-0.286,neutro,,,,,,,,,,,0.0,50.0
Fábio,FLU,266,Goleiro,7,Provável,10.06,20.1,4.89,4.428,-0.85,9,3.22,0.658,1.0,0.44,16,False,CFC,baixa,-0.578,armadilha_leve,,,,,,,,,,,0.0,50.0
Vitinho,BOT,263,Lateral,7,Provável,10.38,20.8,5.59,4.883,0.89,7,5.16,0.923,0.875,0.412,33,False,VAS,alta,-0.308,neutro,,,,,,,,,,,0.0,50.0
Matheuzinho,COR,264,Lateral,7,Provável,10.11,20.2,4.37,4.314,0.11,7,3.51,0.803,0.875,0.373,43,True,INT,estavel,-0.662,armadilha_leve,,,,,,,,,,,0.0,50.0
Alexander Barboza,BOT,263,Zagueiro,7,Provável,11.79,23.6,5.76,4.121,0.0,5,1.96,0.34,0.625,0.218,54,False,VAS,estavel,-0.806,armadilha_leve,,,,,,,,,,,0.0,50.0
David Duarte,BAH,265,Zagueiro,7,Provável,5.68,13.1,3.37,3.171,0.67,3,2.37,0.703,0.375,0.209,56,True,PAL,alta,0.717,valor_bom,,,,,,,,,,,0.0,50.0
Fabrício Bruno,CRU,283,Zagueiro,7,Provável,8.04,16.1,2.64,2.855,0.73,9,1.97,0.746,1.0,0.355,39,False,SAO,alta,-0.5,neutro,,,,,,,,,,,0.0,50.0
Yago Pikachu,REM,364,Meia,7,Provável,5.22,12.0,2.06,2.396,-0.23,9,1.5,0.728,1.0,0.459,35,False,GRE,estavel,0.136,neutro,,,,,,,,,,,0.0,50.0
Erick Pulga,BAH,265,Atacante,7,Provável,7.07,16.3,2.75,2.998,-0.17,8,2.75,1.0,1.0,0.424,50,True,PAL,estavel,-0.02,neutro,,,,,,,,,,,0.0,50.0
Jean Lucas,BAH,265,Meia,7,Provável,10.04,20.1,5.97,4.372,0.0,8,3.47,0.581,1.0,0.435,50,True,PAL,estavel,0.761,valor_bom,,,,,,,,,,,0.0,50.0
Cristian Olivera,BAH,265,Atacante,7,Provável,9.18,18.4,5.84,4.543,1.14,8,4.21,0.721,1.0,0.495,25,True,PAL,alta,0.791,valor_bom,,,,,,,,,,,0.0,50.0
Acevedo,BAH,265,Meia,7,Provável,6.89,15.8,4.23,3.454,0.89,7,4.23,1.0,0.875,0.439,48,True,PAL,alta,0.744,valor_bom,,,,,,,,,,,0.0,50.0
Santiago Mingo,BAH,265,Zagueiro,7,Provável,5.74,13.2,3.02,3.058,0.94,8,1.52,0.503,1.0,0.533,12,True,PAL,alta,0.589,valor_bom,,,,,,,,,,,0.0,50.0
Rogério Ceni,BAH,265,Técnico,7,Provável,11.64,23.3,6.31,5.887,0.92,8,6.31,1.0,1.0,0.506,10,True,PAL,alta,-0.097,neutro,,,,,,,,,,,0.0,50.0
Caio Alexandre,BAH,265,Meia,7,Provável,4.8,11.0,1.7,2.314,-0.05,6,1.7,1.0,0.75,0.362,86,True,PAL,estavel,0.176,neutro,,,,,,,,,,,0.0,50.0
Alex Telles,BOT,263,Lateral,7,Provável,10.88,21.8,5.37,4.78,-0.18,7,3.23,0.601,0.875,0.384,39,False,VAS,estavel,-0.553,armadilha_leve,,,,,,,,,,,0.0,50.0
Matheus Martins,BOT,263,Atacante,7,Provável,5.86,13.5,2.99,3.127,-0.58,7,1.85,0.619,0.875,0.467,32,False,VAS,baixa,0.416,neutro,,,,,,,,,,,0.0,50.0
Danilo,BOT,263,Meia,7,Provável,15.85,28.5,10.02,5.88,0.0,6,5.02,0.501,0.75,0.278,121,False,VAS,estavel,0.598,valor_bom,,,,,,,,,,,0.0,50.0
Raul,BOT,263,Goleiro,7,Provável,4.16,9.6,3.0,3.606,-0.65,4,3.0,1.0,0.5,0.433,17,False,VAS,baixa,1.96,valor_oculto,,,,,,,,,,,0.0,50.0
Allan,BOT,263,Meia,7,Provável,4.29,9.9,1.65,2.293,-0.56,6,1.65,1.0,0.75,0.401,64,False,VAS,baixa,0.307,neutro,,,,,,,,,,,0.0,50.0
Dorival Júnior,COR,264,Técnico,7,Provável,10.03,20.1,4.72,5.092,-0.41,8,4.72,1.0,1.0,0.508,9,True,INT,estavel,-0.276,neutro,,,,,,,,,,,0.0,50.0
Artur,SAO,276,Atacante,7,Provável,7.87,18.1,3.84,3.474,-0.62,5,2.24,0.583,0.625,0.276,90,True,CRU,baixa,0.19,neutro,,,,,,,,,,,0.0,50.0
Vagner Mancini,RBB,280,Técnico,7,Provável,8.77,17.5,5.25,5.351,1.2,9,5.25,1.0,1.0,0.61,3,False,MIR,alta,0.471,neutro,,,,,,,,,,,0.0,50.0
Gabriel,RBB,280,Meia,7,Provável,5.97,13.7,2.63,2.707,2.03,7,1.92,0.73,0.875,0.397,66,False,MIR,alta,0.237,neutro,,,,,,,,,,,0.0,50.0
Juninho Capixaba,RBB,280,Lateral,7,Provável,15.02,27.0,9.06,6.662,1.58,8,5.19,0.573,1.0,0.444,25,False,MIR,alta,-0.451,neutro,,,,,,,,,,,0.0,50.0
Matheus Fernandes,RBB,280,Meia,7,Provável,4.76,10.9,2.46,2.628,0.49,7,2.46,1.0,0.875,0.483,28,False,MIR,estavel,0.517,valor_bom,,,,,,,,,,,0.0,50.0
Alix Vinicius,RBB,280,Zagueiro,7,Provável,5.7,13.1,2.36,2.753,1.31,7,1.07,0.453,0.875,0.423,27,False,MIR,alta,0.324,neutro,,,,,,,,,,,0.0,50.0
Isidro Pitta,RBB,280,Atacante,7,Provável,5.0,11.5,1.57,2.408,1.63,8,0.57,0.363,1.0,0.482,28,False,MIR,alta,0.006,neutro,,,,,,,,,,,0.0,50.0
Gustavo Marques,RBB,280,Zagueiro,7,Provável,7.87,18.1,5.44,4.19,0.5,7,4.15,0.763,0.875,0.466,22,False,MIR,estavel,0.796,valor_bom,,,,,,,,,,,0.0,50.0
Lucas Barbosa,RBB,280,Atacante,7,Provável,9.85,19.7,6.09,4.668,-0.14,8,4.09,0.672,1.0,0.474,30,False,MIR,estavel,0.724,valor_bom,,,,,,,,,,,0.0,50.0
Henry Mosquera,RBB,280,Atacante,7,Provável,6.2,14.3,3.9,3.592,0.27,9,2.79,0.715,1.0,0.579,8,False,MIR,estavel,0.739,valor_bom,,,,,,,,,,,0.0,50.0
Alan Franco,CAM,282,Meia,7,Provável,5.46,12.6,3.01,2.892,0.0,8,2.38,0.791,1.0,0.53,15,True,CAP,estavel,0.584,valor_bom,,,,,,,,,,,0.0,50.0
Vitor Hugo,CAM,282,Zagueiro,7,Provável,7.24,16.7,3.0,3.077,0.0,2,1.5,0.5,0.25,0.106,70,True,CAP,estavel,0.018,neutro,,,,,,,,,,,0.0,50.0
Cuello,CAM,282,Atacante,7,Provável,11.0,22.0,6.68,5.064,3.0,9,4.35,0.651,1.0,0.46,33,True,CAP,alta,0.77,valor_bom,,,,,,,,,,,0.0,50.0
Júnior Santos,BOT,263,Atacante,7,Provável,6.03,13.9,2.97,3.154,1.72,4,0.97,0.327,0.5,0.262,95,False,VAS,alta,0.395,neutro,,,,,,,,,,,0.0,50.0
Natanael,CAM,282,Lateral,7,Provável,9.83,19.7,7.45,4.902,4.67,2,3.45,0.463,0.25,0.125,81,True,CAP,alta,-0.111,neutro,,,,,,,,,,,0.0,50.0
Ruan,CAM,282,Zagueiro,7,Provável,6.33,14.6,3.64,3.368,1.2,8,2.14,0.588,1.0,0.532,13,True,CAP,alta,0.643,valor_bom,,,,,,,,,,,0.0,50.0
Reinier,CAM,282,Meia,7,Provável,6.12,14.1,3.28,3.027,2.83,8,2.03,0.619,1.0,0.495,25,True,CAP,alta,0.527,valor_bom,,,,,,,,,,,0.0,50.0
Viery,GRE,284,Zagueiro,7,Provável,3.33,9.3,1.87,2.571,-0.09,6,1.37,0.733,0.75,0.579,9,True,REM,estavel,1.087,valor_bom,,,,,,,,,,,0.0,50.0
Gustavo Henrique,COR,264,Zagueiro,7,Provável,8.22,16.4,2.97,3.042,-0.64,6,2.47,0.832,0.75,0.278,49,True,INT,baixa,-0.398,neutro,,,,,,,,,,,0.0,50.0
Rochet,INT,285,Goleiro,7,Provável,6.59,15.2,2.8,3.354,0.0,8,2.17,0.775,1.0,0.509,9,False,COR,estavel,0.346,neutro,,,,,,,,,,,0.0,50.0
Raniele,COR,264,Meia,7,Provável,7.71,17.7,3.5,3.086,0.0,6,3.5,1.0,0.75,0.3,113,True,INT,estavel,0.112,neutro,,,,,,,,,,,0.0,50.0
André Ramalho,COR,264,Zagueiro,7,Provável,6.66,15.3,3.05,3.087,0.0,2,1.55,0.508,0.25,0.116,68,True,INT,estavel,0.255,neutro,,,,,,,,,,,0.0,50.0
Angileri,COR,264,Lateral,7,Provável,4.2,9.7,2.05,3.526,-0.46,4,1.3,0.634,0.5,0.42,31,True,INT,estavel,0.673,valor_bom,,,,,,,,,,,0.0,50.0
Hugo Souza,COR,264,Goleiro,7,Provável,9.71,19.4,4.74,4.297,0.0,7,3.31,0.698,0.875,0.387,19,True,INT,estavel,-0.507,armadilha_leve,,,,,,,,,,,0.0,50.0
Breno Bidon,COR,264,Meia,7,Provável,9.24,18.5,3.59,3.155,-0.48,7,2.88,0.802,0.875,0.299,114,True,INT,estavel,-0.276,neutro,,,,,,,,,,,0.0,50.0
Cacá,VIT,287,Zagueiro,7,Provável,5.23,12.0,2.98,3.052,-1.69,5,1.78,0.597,0.625,0.365,36,False,CHA,baixa,0.784,valor_bom,,,,,,,,,,,0.0,50.0
André,COR,264,Meia,7,Provável,7.74,17.8,4.95,3.79,1.41,7,4.24,0.857,0.875,0.428,53,True,INT,alta,0.841,valor_bom,,,,,,,,,,,0.0,50.0
William,CRU,283,Lateral,7,Provável,9.41,18.8,3.74,4.02,0.84,7,2.88,0.77,0.875,0.374,42,False,SAO,alta,-0.66,armadilha_leve,,,,,,,,,,,0.0,50.0
Matheus Cunha,CRU,283,Goleiro,7,Provável,4.84,11.1,3.36,3.698,1.35,5,0.36,0.107,0.625,0.478,11,False,SAO,alta,1.665,valor_oculto,,,,,,,,,,,0.0,50.0
Matheus Henrique,CRU,283,Meia,7,Provável,5.3,12.2,2.06,2.396,-0.79,9,2.06,1.0,1.0,0.452,40,False,SAO,baixa,0.112,neutro,,,,,,,,,,,0.0,50.0
Matheus Pereira,CRU,283,Meia,7,Provável,14.78,29.6,5.46,4.117,0.91,8,3.58,0.656,1.0,0.279,119,False,SAO,alta,-0.931,armadilha_leve,,,,,,,,,,,0.0,50.0
Arroyo,CRU,283,Atacante,7,Provável,4.65,10.7,1.6,2.423,0.15,8,1.6,1.0,1.0,0.521,20,False,SAO,estavel,0.112,neutro,,,,,,,,,,,0.0,50.0
Léo Pereira,FLA,262,Zagueiro,7,Provável,10.34,20.7,5.14,3.883,0.0,5,2.14,0.416,0.625,0.235,53,True,SAN,estavel,-0.456,neutro,,,,,,,,,,,0.0,50.0
Borré,INT,285,Atacante,7,Provável,6.43,14.8,3.06,3.148,-1.06,9,2.17,0.709,1.0,0.49,27,False,COR,baixa,0.283,neutro,,,,,,,,,,,0.0,50.0
Varela,FLA,262,Lateral,7,Provável,8.96,17.9,5.6,4.837,0.0,6,3.27,0.584,0.75,0.405,35,True,SAN,estavel,0.125,neutro,,,,,,,,,,,0.0,50.0
Jorginho,FLA,262,Meia,7,Provável,8.76,17.5,2.03,2.456,-0.42,6,2.03,1.0,0.75,0.21,149,True,SAN,estavel,-0.865,armadilha_leve,,,,,,,,,,,0.0,50.0
Arrascaeta,FLA,262,Meia,7,Provável,16.8,30.2,6.2,4.092,0.0,5,4.2,0.677,0.625,0.152,161,True,SAN,estavel,-1.564,armadilha_forte,,,,,,,,,,,0.0,50.0
Samuel Lino,FLA,262,Atacante,7,Provável,9.57,19.1,5.93,4.499,-0.87,7,2.93,0.494,0.875,0.411,55,True,SAN,baixa,0.648,valor_bom,,,,,,,,,,,0.0,50.0
Ayrton Lucas,FLA,262,Lateral,7,Provável,8.28,16.6,3.5,4.01,-0.86,4,2.0,0.571,0.5,0.242,64,True,SAN,baixa,-0.295,neutro,,,,,,,,,,,0.0,50.0
Léo Ortiz,FLA,262,Zagueiro,7,Provável,9.47,18.9,4.76,3.873,-0.19,7,2.62,0.55,0.875,0.358,38,True,SAN,estavel,-0.124,neutro,,,,,,,,,,,0.0,50.0
Ganso,FLU,266,Meia,7,Provável,3.91,10.9,1.14,1.957,0.02,8,1.14,1.0,1.0,0.501,24,False,CFC,estavel,0.069,neutro,,,,,,,,,,,0.0,50.0
Evertton Araújo,FLA,262,Meia,7,Provável,2.74,7.7,0.45,2.0,0.0,4,0.45,1.0,0.5,0.365,81,True,SAN,estavel,0.465,neutro,,,,,,,,,,,0.0,50.0
Everaldo,BAH,265,Atacante,7,Provável,8.88,17.8,6.38,4.589,2.07,6,2.38,0.373,0.75,0.388,61,True,PAL,alta,0.912,valor_bom,,,,,,,,,,,0.0,50.0
Guilherme Arana,FLU,266,Lateral,7,Provável,9.42,18.8,4.8,4.47,0.0,5,2.4,0.5,0.625,0.297,56,False,CFC,estavel,-0.313,neutro,,,,,,,,,,,0.0,50.0
Guga,FLU,266,Lateral,7,Provável,6.51,15.0,2.9,3.81,0.0,4,1.4,0.483,0.5,0.293,57,False,CFC,estavel,0.133,neutro,,,,,,,,,,,0.0,50.0
Luis Zubeldía,FLU,266,Técnico,7,Provável,10.6,21.2,6.4,5.96,-0.06,9,6.4,1.0,1.0,0.562,7,False,CFC,estavel,0.378,neutro,,,,,,,,,,,0.0,50.0
Ignácio,FLU,266,Zagueiro,7,Provável,6.57,15.1,3.53,3.215,0.0,3,3.53,1.0,0.375,0.184,59,False,CFC,estavel,0.408,neutro,,,,,,,,,,,0.0,50.0
Soteldo,FLU,266,Atacante,7,Provável,3.91,10.9,0.7,2.267,-0.61,5,0.7,1.0,0.625,0.362,66,False,CFC,baixa,0.17,neutro,,,,,,,,,,,0.0,50.0
Freytes,FLU,266,Zagueiro,7,Provável,5.3,12.2,3.44,3.268,-0.82,8,2.31,0.672,1.0,0.617,7,False,CFC,baixa,0.955,valor_bom,,,,,,,,,,,0.0,50.0
Hércules,FLU,266,Meia,7,Provável,8.46,16.9,5.35,3.977,1.14,7,3.21,0.6,0.875,0.411,57,False,CFC,alta,0.821,valor_bom,,,,,,,,,,,0.0,50.0
Serna,FLU,266,Atacante,7,Provável,6.82,15.7,2.28,2.735,1.74,9,1.72,0.754,1.0,0.401,57,False,CFC,alta,-0.188,neutro,,,,,,,,,,,0.0,50.0
Luís Castro,GRE,284,Técnico,7,Provável,9.37,18.7,4.81,5.118,-0.26,9,4.81,1.0,1.0,0.546,8,True,REM,estavel,0.005,neutro,,,,,,,,,,,0.0,50.0
Tiago Volpi,RBB,280,Goleiro,7,Provável,10.2,20.4,6.05,4.337,0.59,2,3.55,0.587,0.25,0.106,28,False,MIR,alta,-0.744,armadilha_leve,,,,,,,,,,,0.0,50.0
Pavón,GRE,284,Atacante,7,Provável,6.35,14.6,3.82,3.55,-0.29,9,3.82,1.0,1.0,0.559,11,True,REM,estavel,0.661,valor_bom,,,,,,,,,,,0.0,50.0
Carlos Vinícius,GRE,284,Atacante,7,Provável,17.11,30.8,7.88,5.699,0.08,9,1.66,0.211,1.0,0.333,74,True,REM,estavel,-0.29,neutro,,,,,,,,,,,0.0,50.0
Gustavo Martins,GRE,284,Zagueiro,7,Provável,6.11,14.1,2.53,2.854,0.19,6,0.86,0.34,0.75,0.35,42,True,REM,estavel,0.256,neutro,,,,,,,,,,,0.0,50.0
Edenílson,BOT,263,Meia,7,Provável,6.54,15.0,2.73,2.756,1.06,6,1.06,0.388,0.75,0.316,106,False,VAS,alta,0.117,neutro,,,,,,,,,,,0.0,50.0
Amuzu,GRE,284,Atacante,7,Provável,7.49,17.2,4.86,4.053,-0.04,8,2.61,0.537,1.0,0.541,14,True,REM,estavel,0.805,valor_bom,,,,,,,,,,,0.0,50.0
Mercado,INT,285,Zagueiro,7,Provável,6.37,14.7,4.47,3.685,-0.82,6,2.97,0.664,0.75,0.434,26,False,COR,baixa,0.919,valor_bom,,,,,,,,,,,0.0,50.0
Monsalve,GRE,284,Meia,7,Provável,2.73,7.6,0.16,1.769,-0.36,5,0.16,1.0,0.625,0.405,61,True,REM,estavel,0.226,neutro,,,,,,,,,,,0.0,50.0
Carbonero,INT,285,Atacante,7,Provável,8.15,16.3,4.39,3.852,-0.3,9,2.95,0.672,1.0,0.473,31,False,COR,estavel,0.451,neutro,,,,,,,,,,,0.0,50.0
Bruno Gomes,INT,285,Meia,7,Provável,6.86,15.8,3.51,3.164,0.04,9,3.51,1.0,1.0,0.461,32,False,COR,estavel,0.449,neutro,,,,,,,,,,,0.0,50.0
Victor Gabriel,INT,285,Zagueiro,7,Provável,4.31,9.9,2.2,2.648,-0.21,8,1.83,0.832,1.0,0.614,8,False,COR,estavel,0.773,valor_bom,,,,,,,,,,,0.0,50.0
Paulo Pezzolano,INT,285,Técnico,7,Provável,6.96,16.0,4.4,4.901,-0.69,9,4.4,1.0,1.0,0.704,2,False,COR,baixa,0.717,valor_bom,,,,,,,,,,,0.0,50.0
Vitinho,INT,285,Atacante,7,Provável,7.38,17.0,3.84,3.543,0.0,8,2.59,0.674,1.0,0.48,29,False,COR,estavel,0.381,neutro,,,,,,,,,,,0.0,50.0
Gustavo Gómez,PAL,275,Zagueiro,7,Provável,11.41,22.8,5.34,4.218,0.0,8,2.46,0.461,1.0,0.37,35,False,BAH,estavel,-0.568,armadilha_leve,,,,,,,,,,,0.0,50.0
Weverton,GRE,284,Goleiro,7,Provável,6.24,14.4,2.68,3.258,-0.09,9,1.57,0.586,1.0,0.522,5,True,REM,estavel,0.451,neutro,,,,,,,,,,,0.0,50.0
Marlon Freitas,PAL,275,Meia,7,Provável,8.65,17.3,3.54,3.18,3.32,9,1.87,0.528,1.0,0.368,80,False,BAH,alta,-0.072,neutro,,,,,,,,,,,0.0,50.0
Murilo,PAL,275,Zagueiro,7,Provável,6.88,15.8,4.1,3.565,-1.19,7,2.1,0.512,0.875,0.453,25,False,BAH,baixa,0.609,valor_bom,,,,,,,,,,,0.0,50.0
Abel Ferreira,PAL,275,Técnico,7,Provável,12.22,24.4,6.82,6.182,-0.14,9,6.82,1.0,1.0,0.506,10,False,BAH,estavel,-0.024,neutro,,,,,,,,,,,0.0,50.0
Maurício,PAL,275,Meia,7,Provável,6.74,15.5,3.17,2.972,-0.01,8,1.92,0.606,1.0,0.441,47,False,BAH,estavel,0.283,neutro,,,,,,,,,,,0.0,50.0
Carlos Miguel,PAL,275,Goleiro,7,Provável,7.61,17.5,4.03,3.973,-0.09,9,2.92,0.725,1.0,0.522,5,False,BAH,estavel,0.366,neutro,,,,,,,,,,,0.0,50.0
Flaco López,PAL,275,Atacante,7,Provável,14.01,28.0,6.48,4.958,-0.85,9,3.26,0.503,1.0,0.354,68,False,BAH,baixa,-0.124,neutro,,,,,,,,,,,0.0,50.0
Giay,PAL,275,Lateral,7,Provável,6.32,14.5,3.84,4.052,-0.47,8,3.09,0.805,1.0,0.641,7,False,BAH,estavel,0.384,neutro,,,,,,,,,,,0.0,50.0
Allan,PAL,275,Meia,7,Provável,13.14,26.3,6.48,4.736,-0.74,9,4.81,0.742,1.0,0.36,87,False,BAH,baixa,0.212,neutro,,,,,,,,,,,0.0,50.0
Lucas Ramon,SAO,276,Lateral,7,Provável,12.22,24.4,9.22,6.17,-1.5,5,7.02,0.761,0.625,0.316,53,True,CRU,baixa,0.089,neutro,,,,,,,,,,,0.0,50.0
