atleta_id,nome,clube_id,clube,posicao_id,pontos,preco,variacao,scout_DS,scout_FC,scout_I,scout_FS,scout_SG,scout_CA,scout_FD,scout_FF,scout_PP,scout_G,scout_DE,scout_GS,scout_A,scout_GC,scout_PC,scout_FT,scout_V,scout_CV,scout_DP,scout_PS
116706,Andrés Gómez,267,VAS,5,,,,,2.0,,2.0,,,1.0,,,,,,,,,,,,,
117330,Robert Renan,267,VAS,3,,,,2.0,,,,,,,,,,,,,,,,,,,
117632,Garro,264,COR,4,,,,,,,4.0,,,2.0,,,,,,,,,,,,,
117910,Breno Bidon,264,COR,4,,,,1.0,,,4.0,,,,,,,,,,,,,,,,
118655,Saldivia,267,VAS,3,,,,2.0,2.0,,2.0,,1.0,1.0,,,,,,,,,,,,,
118775,Lautaro Díaz,277,SAN,5,,,,,,,,,,,2.0,,1.0,,,,,,,,,,
120433,Léo Derik,293,CAP,2,,,,1.0,,,,,,,,,,,,,,,,,,,
122138,João Vitor,315,CHA,4,,,,,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,
122485,Barros,267,VAS,4,,,,1.0,1.0,,5.0,,,,,,,,,,,,,,,,
123016,David Braga,364,REM,4,,,,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,
123101,Leozinho,293,CAP,5,,,,,,,,,,,,,,,,,,,,,,,
123360,Cauly,276,SAO,4,,,,,,,1.0,,,,1.0,,,,,,,,,,,,
123625,Ítalo,315,CHA,5,,,,,,,2.0,,,,1.0,,,,,,,,,,,,
123648,Lucas Ronier,294,CFC,5,,,,1.0,,,3.0,,,1.0,1.0,,,,,,,,,,,,
123738,Herrera,280,RBB,5,,,,1.0,2.0,,,,1.0,,1.0,,,,,,,,,,,,
123869,Aguirre,293,CAP,3,,,,,4.0,,1.0,,1.0,,,,,,,,,,,,,,
124239,Henry Mosquera,280,RBB,5,,,,3.0,,2.0,2.0,,,1.0,,,,,,,,,,,,,
124424,Rodrigo Castillo,266,FLU,5,,,,,5.0,1.0,1.0,,,,,,,,,,,,,,,,
124526,Giay,275,PAL,2,,,,1.0,3.0,1.0,,,1.0,,,,,,,,,,,,,,
124912,Jonathan Jesus,283,CRU,3,,,,,,,1.0,,,,,,,,,,,,,,,,
125467,Viery,284,GRE,3,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,,,
125746,Dudu,293,CAP,4,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
126120,Marcelinho,280,RBB,4,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,
126182,Paulinho,285,INT,4,,,,2.0,1.0,,3.0,,,,,,,,,,,,,,,,
126189,Tomás Pérez,282,CAM,4,,,,1.0,,,,,,,,,,,,,,,,,,,
126471,Barreal,277,SAN,4,,,,1.0,,,,,1.0,,1.0,,,,,,,1.0,,,,,
126977,Fernando Seabra,294,CFC,6,,,,,,,,,,,,,,,,,,,,,,,
127273,Artur Jorge,283,CRU,6,,,,,,,,,,,,,,,,,,,,,,,
128431,João Cruz,293,CAP,4,,,,,,,,,,,,,,,,1.0,,,,,,,
128433,Johan Rojas,267,VAS,4,,,,,,,1.0,,,1.0,,,,,,,,,,,,,
130209,Renê,287,VIT,5,,,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,
130232,Caio Roque,263,BOT,2,,,,1.0,,,2.0,,,,,,,,,1.0,,,,,,,
130612,Luighi,275,PAL,5,,,,1.0,2.0,,2.0,,1.0,,,,,,,,,,,,,,
130620,Edenílson,287,VIT,4,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,
130843,Arthur Dias,293,CAP,3,,,,,,,,,,,,,,,,,,,,,,,
131516,JP Chermont,294,CFC,2,,,,,1.0,,,,,1.0,,,,,,,,,,,,,
131617,André Silva,276,SAO,5,,,,,1.0,,,,,,,,,,,,,,,,,,
131832,Portilla,293,CAP,4,,,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,
131967,Villarreal,283,CRU,5,,,,,,,,,,,,,,,,,,,,,,,
132071,Serna,266,FLU,5,,,,2.0,1.0,,2.0,,,,,,,,,,,,,,,,
132264,Arroyo,283,CRU,5,,,,,,,6.0,,,1.0,,,,,,1.0,,,,,,,
140438,David,315,CHA,4,,,,1.0,,,1.0,,,,2.0,,,,,,,1.0,,,,,
141451,Allan,275,PAL,4,,,,2.0,,,2.0,,,,,,,,,,,,,,,,
141594,Pedro Gabriel,284,GRE,2,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
141595,Gabriel Mec,284,GRE,5,,,,,,,2.0,,,,,,,,,,,,,,,,
141754,Gabriel Bontempo,277,SAN,4,,,,4.0,1.0,,,,1.0,,,,,,,,,,,,,,
141776,Gustavo Henrique,277,SAN,4,,,,1.0,,,,,,,,,,,,,,,,,,,
141995,Dieguinho,264,COR,4,,,,,,,,,,,,,,,,,,,,,,,
142004,Amuzu,284,GRE,5,,,,3.0,1.0,,2.0,,,,3.0,,,,,,,,1.0,,,,
142260,Bernardo Zortea,284,GRE,4,,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,
142265,Dell,265,BAH,5,,,,,1.0,,,,,,,,,,,,,,,,,,
142279,Nuno Moreira,267,VAS,4,,,,,,,1.0,,,,1.0,,,,,,,,,,,,
142877,Villalba,263,BOT,5,,,,2.0,,,,,,,,,1.0,,,,,,,,,,
142890,Montoro,263,BOT,4,,,,1.0,,,,,,,,,,,,1.0,,,,,,,
143153,Tarzia,287,VIT,5,,,,1.0,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,
143193,Viveros,293,CAP,5,,,,,2.0,,2.0,,,,,,,,,,,,,,,,
143600,Kauã Moraes,283,CRU,2,,,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,
145404,Arthur,275,PAL,2,,,,3.0,2.0,,1.0,,,1.0,,,,,,,,,,,,,
145744,André,264,COR,4,,,,3.0,2.0,,3.0,,,,,,,,,,,,,,,,
146375,Kadir,263,BOT,5,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,
146430,Justino,263,BOT,3,,,,,,,,,1.0,,,,,,,,,,,,,,
147088,Cissé,282,CAM,4,,,,,,,,,,,,,,,,,,,,,,,
147194,Bruninho,293,CAP,4,,,,,1.0,,,,,,,,,,,,,,,,,,
147268,Anderson Pato,287,VIT,5,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,
