nome,clube,posicao,status_label,preco,variacao,media,jogos,mandante,adversario,tendencia,prob_vitoria,min_valorizar,pb_media,resiliencia_pct,confiabilidade,media_bayesiana,residuo_z,armadilha_label,custo_beneficio,cb_rank
Thiago Silva,FLU,Zagueiro,Provável,7.07,0.0,2.5,2,True,REM,estavel,0.666,2.5,1.0,0.4,0.25,3.661,0.263,neutro,0.129,86
Alexander Barboza,PAL,Zagueiro,Provável,10.94,0.0,5.1,14,True,VAS,estavel,0.575,5.1,3.31,0.649,1.0,4.682,0.217,neutro,0.428,58
Gustavo Gómez,PAL,Zagueiro,Provável,10.99,0.43,4.98,20,True,VAS,estavel,0.575,10.2,2.48,0.498,1.0,4.686,0.207,neutro,0.426,59
Ignácio,FLU,Zagueiro,Provável,7.32,0.0,3.45,10,True,REM,estavel,0.666,3.5,2.55,0.739,1.0,3.673,0.173,neutro,0.502,34
Luan Peres,SAN,Zagueiro,Provável,6.11,2.04,2.76,15,True,MIR,alta,0.499,13.5,1.56,0.565,1.0,3.174,0.076,neutro,0.519,27
Léo Ortiz,FLA,Zagueiro,Provável,9.41,0.0,4.28,17,False,CRU,estavel,0.157,4.3,2.52,0.589,1.0,4.175,0.041,neutro,0.444,55
Arboleda,SAO,Zagueiro,Provável,8.37,-0.18,3.77,10,False,CHA,estavel,0.27,1.5,3.17,0.841,1.0,3.851,-0.011,neutro,0.46,49
Wagner Leonardo,GRE,Zagueiro,Provável,5.36,0.0,2.78,9,False,RBB,estavel,0.145,2.8,2.11,0.759,1.0,2.779,-0.045,neutro,0.518,28
Gustavo Henrique,COR,Zagueiro,Provável,9.27,0.68,4.12,18,False,CFC,alta,0.211,10.0,2.62,0.636,1.0,4.068,-0.05,neutro,0.439,56
Robert Renan,VAS,Zagueiro,Provável,5.11,-0.94,2.61,21,False,PAL,baixa,0.351,1.7,2.04,0.782,1.0,2.656,-0.064,neutro,0.52,26
Tchamba,REM,Zagueiro,Provável,4.58,-0.53,2.19,15,False,FLU,baixa,0.313,3.8,1.79,0.817,1.0,2.394,-0.086,neutro,0.523,25
Villalba,CRU,Zagueiro,Provável,6.1,-0.91,2.43,12,True,FLA,baixa,0.311,2.4,1.26,0.519,1.0,3.039,-0.092,neutro,0.498,36
João Victor,MIR,Zagueiro,Provável,5.64,0.74,2.86,20,False,SAN,alta,0.477,7.9,1.86,0.65,1.0,2.836,-0.121,neutro,0.503,33
Santiago Mingo,BAH,Zagueiro,Provável,4.77,-0.1,2.32,20,False,VIT,estavel,0.239,4.3,1.42,0.612,1.0,2.451,-0.129,neutro,0.514,30
Ferraresi,BOT,Zagueiro,Provável,6.38,0.85,2.69,17,True,CAP,alta,0.414,6.7,1.98,0.736,1.0,3.094,-0.156,neutro,0.485,40
Marllon,REM,Zagueiro,Provável,5.82,0.0,2.83,21,False,FLU,estavel,0.313,2.8,2.02,0.714,1.0,2.815,-0.241,neutro,0.484,41
Cacá,VIT,Zagueiro,Provável,5.99,1.15,2.79,15,True,BAH,alta,0.377,6.2,1.19,0.427,1.0,2.786,-0.363,neutro,0.465,47
Carlos Cuesta,VAS,Zagueiro,Provável,5.26,-0.78,2.14,11,False,PAL,baixa,0.351,1.7,1.14,0.533,1.0,2.408,-0.467,neutro,0.458,50
Fabrício Bruno,CRU,Zagueiro,Provável,6.89,0.0,2.29,20,True,FLA,estavel,0.311,2.3,1.69,0.738,1.0,2.765,-0.811,armadilha_leve,0.401,62
Maripán,INT,Zagueiro,Provável,4.12,-0.62,1.88,5,True,CAM,baixa,0.442,1.7,1.28,0.681,0.625,1.557,-0.864,armadilha_leve,0.236,70
