nome,clube,posicao,status_label,preco,variacao,media,jogos,mandante,adversario,tendencia,prob_vitoria,min_valorizar,pb_media,resiliencia_pct,confiabilidade,media_bayesiana,residuo_z,armadilha_label,custo_beneficio,cb_rank
Acevedo,BAH,Meia,Provável,8.76,1.74,4.94,20,False,VIT,alta,0.239,15.4,4.69,0.949,1.0,4.697,0.972,valor_bom,0.536,42
Rodrigo Nestor,BAH,Meia,Provável,5.9,-0.2,3.55,15,False,VIT,estavel,0.239,5.3,2.88,0.811,1.0,3.738,0.959,valor_bom,0.634,9
Rodriguinho,RBB,Meia,Provável,6.07,0.0,3.54,11,True,GRE,estavel,0.539,3.5,2.63,0.743,1.0,3.771,0.918,valor_bom,0.621,11
Vitor Tissi,CFC,Meia,Provável,1.65,0.64,1.3,3,True,COR,alta,0.307,3.2,1.3,1.0,0.375,1.08,0.908,valor_bom,0.245,144
Luiz Gustavo,CAP,Meia,Provável,6.2,-0.51,3.65,15,False,BOT,baixa,0.281,2.7,2.98,0.816,1.0,3.803,0.896,valor_bom,0.613,12
Jean Lucas,BAH,Meia,Provável,10.1,0.73,5.34,19,False,VIT,alta,0.239,9.3,4.02,0.753,1.0,4.969,0.875,valor_bom,0.492,70
Thiago Mendes,VAS,Meia,Provável,7.65,0.5,4.23,18,False,PAL,estavel,0.351,5.2,2.84,0.671,1.0,4.187,0.752,valor_bom,0.547,30
Victor Hugo,CAM,Meia,Provável,6.44,-0.01,3.63,19,False,INT,estavel,0.174,1.8,2.31,0.636,1.0,3.766,0.741,valor_bom,0.585,21
Jadson,CAP,Meia,Provável,6.22,1.29,3.48,16,False,BOT,alta,0.281,10.7,3.17,0.911,1.0,3.683,0.739,valor_bom,0.592,18
Picco,REM,Meia,Provável,6.24,-0.1,3.52,20,False,FLU,estavel,0.313,1.5,3.02,0.858,1.0,3.683,0.73,valor_bom,0.59,19
Allan,PAL,Meia,Provável,12.25,-0.14,5.82,20,True,VAS,estavel,0.575,4.1,4.32,0.742,1.0,5.326,0.719,valor_bom,0.435,98
Raniele,COR,Meia,Provável,7.8,0.0,4.23,18,False,CFC,estavel,0.211,4.2,3.95,0.934,1.0,4.187,0.694,valor_bom,0.537,40
Medina,BOT,Meia,Provável,7.08,0.03,3.86,13,True,CAP,estavel,0.414,4.2,3.48,0.902,1.0,3.947,0.686,valor_bom,0.557,26
Hércules,FLU,Meia,Provável,7.05,0.23,3.76,20,True,REM,estavel,0.666,3.2,3.01,0.801,1.0,3.854,0.584,valor_bom,0.547,30
José Welison,REM,Meia,Provável,3.87,0.3,2.66,19,False,FLU,estavel,0.313,3.9,2.66,1.0,1.0,2.477,0.581,valor_bom,0.64,5
Alan Patrick,INT,Meia,Provável,7.04,-0.24,3.73,18,True,CAM,estavel,0.442,1.5,2.9,0.777,1.0,3.841,0.572,valor_bom,0.546,32
Emmanuel Martínez,VIT,Meia,Provável,6.52,-0.18,3.38,16,True,BAH,estavel,0.377,4.7,3.38,1.0,1.0,3.616,0.521,valor_bom,0.555,28
Bruno Gomes,INT,Meia,Provável,6.4,0.03,3.38,23,True,CAM,estavel,0.442,2.7,3.38,1.0,1.0,3.563,0.51,valor_bom,0.557,26
Bernard,CAM,Meia,Provável,4.62,-0.98,3.13,19,False,INT,baixa,0.174,0.5,1.81,0.578,1.0,2.807,0.505,valor_bom,0.608,14
Matheuzinho,VIT,Meia,Provável,7.07,1.4,3.67,19,True,BAH,alta,0.377,11.5,2.88,0.785,1.0,3.794,0.502,valor_bom,0.537,40
Gerson,CRU,Meia,Provável,8.39,0.16,4.24,20,True,FLA,estavel,0.311,2.8,3.74,0.882,1.0,4.197,0.489,neutro,0.5,64
Willian Arão,SAN,Meia,Provável,6.57,1.26,3.34,15,True,MIR,alta,0.499,9.5,3.01,0.901,1.0,3.601,0.48,neutro,0.548,29
Villasanti,GRE,Meia,Provável,6.99,0.0,2.3,2,False,RBB,estavel,0.145,2.3,2.3,1.0,0.25,3.731,0.458,neutro,0.133,168
Huguinho,BOT,Meia,Provável,4.48,-1.51,3.74,5,True,CAP,baixa,0.414,3.7,2.74,0.733,0.625,2.694,0.451,neutro,0.376,125
Gustavo Cazonatti,MIR,Meia,Provável,3.35,-0.53,2.03,3,False,SAN,baixa,0.477,1.0,2.03,1.0,0.375,2.038,0.421,neutro,0.228,147
Sebastián Gómez,CFC,Meia,Provável,3.73,-0.32,2.34,19,True,COR,estavel,0.307,2.3,2.34,1.0,1.0,2.251,0.401,neutro,0.603,16
Barreal,SAN,Meia,Provável,10.18,-0.62,4.79,17,True,MIR,baixa,0.499,3.2,3.61,0.754,1.0,4.566,0.356,neutro,0.449,90
Oliva,SAN,Meia,Provável,6.1,-0.07,2.83,14,True,MIR,estavel,0.499,1.4,2.12,0.749,1.0,3.288,0.311,neutro,0.539,39
Giovanni Augusto,CHA,Meia,Provável,7.19,3.38,3.4,14,True,SAO,alta,0.264,23.2,1.97,0.579,1.0,3.651,0.277,neutro,0.508,60
Santiago Sosa,VAS,Meia,Provável,8.06,0.06,2.4,1,False,PAL,estavel,0.351,2.4,2.4,1.0,0.125,3.902,0.247,neutro,0.061,182
Erick Pulgar,FLA,Meia,Provável,5.97,-1.2,2.54,12,False,CRU,baixa,0.157,2.5,2.12,0.835,1.0,3.16,0.216,neutro,0.529,48
Jorginho,FLA,Meia,Provável,8.54,-0.76,3.96,16,False,CRU,baixa,0.157,4.0,3.02,0.763,1.0,4.003,0.198,neutro,0.469,82
Camilo,CHA,Meia,Provável,5.09,0.37,3.07,18,True,SAO,estavel,0.264,3.1,3.07,1.0,1.0,2.753,0.169,neutro,0.541,37
João Cruz,CAP,Meia,Provável,5.31,-0.84,3.25,16,False,BOT,baixa,0.281,3.2,2.0,0.615,1.0,2.847,0.166,neutro,0.536,42
Marlon Freitas,PAL,Meia,Provável,6.15,-0.16,2.83,22,True,VAS,estavel,0.575,4.2,2.15,0.76,1.0,3.166,0.138,neutro,0.515,54
Gabriel,RBB,Meia,Provável,5.15,-0.02,3.08,17,True,GRE,estavel,0.539,1.7,2.49,0.808,1.0,2.747,0.129,neutro,0.533,45
Vinícius Balieiro,CHA,Meia,Provável,3.62,0.0,1.84,5,True,SAO,estavel,0.264,1.8,1.84,1.0,0.625,1.964,0.128,neutro,0.339,136
Marcos Antônio,SAO,Meia,Provável,6.06,-0.33,2.59,16,False,CHA,estavel,0.27,1.5,1.96,0.757,1.0,3.09,0.087,neutro,0.51,58
Zé Ricardo,REM,Meia,Provável,4.72,0.41,2.67,21,False,FLU,estavel,0.313,4.7,2.43,0.91,1.0,2.496,0.064,neutro,0.529,48
Andreas Pereira,PAL,Meia,Provável,11.49,-0.72,4.73,22,True,VAS,baixa,0.575,4.7,2.46,0.52,1.0,4.559,-0.024,neutro,0.397,116
Danielzinho,SAO,Meia,Provável,6.34,0.0,2.68,19,False,CHA,estavel,0.27,2.7,2.15,0.802,1.0,3.098,-0.033,neutro,0.489,74
Montoro,BOT,Meia,Provável,6.5,-0.79,2.67,17,True,CAP,baixa,0.414,2.7,1.79,0.67,1.0,3.124,-0.074,neutro,0.481,76
Breno Bidon,COR,Meia,Provável,8.39,-0.19,3.6,21,False,CFC,estavel,0.211,2.7,2.89,0.803,1.0,3.735,-0.078,neutro,0.445,92
Tchê Tchê,VAS,Meia,Provável,4.24,-0.74,2.13,15,False,PAL,baixa,0.351,2.3,1.8,0.845,1.0,2.099,-0.129,neutro,0.495,66
Wallisson,MIR,Meia,Provável,4.73,0.02,2.48,14,False,SAN,estavel,0.477,3.5,2.48,1.0,1.0,2.32,-0.157,neutro,0.49,73
Alan Franco,CAM,Meia,Provável,4.61,-0.27,2.21,17,False,INT,estavel,0.174,0.2,1.92,0.869,1.0,2.156,-0.288,neutro,0.468,83
Arrascaeta,FLA,Meia,Provável,14.11,-0.48,5.19,14,False,CRU,estavel,0.157,5.0,3.4,0.655,1.0,4.79,-0.379,neutro,0.339,136
Bruno Henrique,INT,Meia,Provável,4.32,0.58,1.88,20,True,CAM,alta,0.442,4.7,1.63,0.867,1.0,1.926,-0.392,neutro,0.446,91
Fernando Sobral,CFC,Meia,Provável,3.94,-0.4,1.0,4,True,COR,estavel,0.307,1.0,1.0,1.0,0.5,1.694,-0.428,neutro,0.215,149
Maycon,CAM,Meia,Provável,5.31,0.03,2.52,14,False,INT,estavel,0.174,1.5,1.81,0.718,1.0,2.346,-0.449,neutro,0.442,93
Yago Pikachu,REM,Meia,Provável,4.76,-0.01,2.11,22,False,FLU,estavel,0.313,1.2,1.43,0.678,1.0,2.092,-0.455,neutro,0.439,96
Matheus Henrique,CRU,Meia,Provável,4.54,0.0,1.88,20,True,FLA,estavel,0.311,1.9,1.88,1.0,1.0,1.926,-0.528,armadilha_leve,0.424,103
João Schmidt,SAN,Meia,Provável,4.81,0.09,2.04,11,True,MIR,estavel,0.499,4.5,2.04,1.0,1.0,2.04,-0.547,armadilha_leve,0.424,103
Allan,COR,Meia,Provável,3.26,0.0,1.19,17,False,CFC,estavel,0.211,3.6,1.19,1.0,1.0,1.128,-0.625,armadilha_leve,0.346,135
Villagra,INT,Meia,Provável,4.95,-0.25,1.98,17,True,CAM,estavel,0.442,0.9,1.98,1.0,1.0,1.999,-0.677,armadilha_leve,0.404,112
Ganso,FLU,Meia,Provável,3.97,0.56,1.13,14,True,REM,alta,0.666,4.8,1.13,1.0,1.0,1.461,-0.734,armadilha_leve,0.368,132
Carrillo,COR,Meia,Provável,4.28,0.24,1.42,18,False,CFC,estavel,0.211,2.0,1.14,0.803,1.0,1.611,-0.753,armadilha_leve,0.376,125
Krovinovic,GRE,Meia,Provável,5.34,0.34,2.3,1,False,RBB,estavel,0.145,2.3,2.3,1.0,0.125,2.07,-0.803,armadilha_leve,0.048,187
Pablo Maia,SAO,Meia,Provável,5.21,0.86,1.96,14,False,CHA,alta,0.27,8.2,1.6,0.816,1.0,1.989,-0.833,armadilha_leve,0.382,122
Martinelli,FLU,Meia,Provável,5.67,0.4,1.96,15,True,REM,estavel,0.666,4.7,1.29,0.658,1.0,1.988,-1.074,armadilha_leve,0.351,133
Odair Hellmann,CAP,Técnico,Provável,9.02,-0.42,5.88,21,False,BOT,estavel,0.281,5.8,5.88,1.0,1.0,5.685,1.594,valor_oculto,0.63,2
Fernando Seabra,CFC,Técnico,Provável,7.79,-0.25,5.08,23,True,COR,estavel,0.307,4.4,5.08,1.0,1.0,4.981,1.066,valor_bom,0.639,1
Abel Ferreira,PAL,Técnico,Provável,11.69,-0.39,6.54,23,True,VAS,estavel,0.575,4.7,6.54,1.0,1.0,6.425,0.968,valor_bom,0.55,10
Fernando Diniz,COR,Técnico,Provável,9.19,-0.42,5.72,16,False,CFC,estavel,0.211,5.5,5.72,1.0,1.0,5.538,0.954,valor_bom,0.603,6
Vagner Mancini,RBB,Técnico,Provável,8.63,0.29,5.47,21,True,GRE,estavel,0.539,5.9,5.47,1.0,1.0,5.256,0.791,valor_bom,0.609,5
Leonardo Jardim,FLA,Técnico,Provável,13.84,0.3,7.33,19,False,CRU,estavel,0.157,11.6,7.33,1.0,1.0,6.964,0.699,valor_bom,0.503,16
Paulo Pezzolano,INT,Técnico,Provável,7.56,-0.23,4.76,23,True,CAM,estavel,0.442,4.4,4.76,1.0,1.0,4.743,0.674,valor_bom,0.627,3
Cuca,SAN,Técnico,Provável,10.71,0.89,5.86,14,True,MIR,alta,0.499,10.3,5.86,1.0,1.0,5.945,0.501,valor_bom,0.555,9
Artur Jorge,CRU,Técnico,Provável,11.92,-0.08,6.43,15,True,FLA,estavel,0.311,7.2,6.43,1.0,1.0,6.313,0.419,neutro,0.53,11
Marcão,FLU,Técnico,Provável,12.13,2.06,8.23,1,True,REM,alta,0.666,8.2,8.23,1.0,0.125,6.332,0.283,neutro,0.065,20
Jair Ventura,VIT,Técnico,Provável,8.98,0.77,5.2,20,True,BAH,alta,0.377,8.7,5.2,1.0,1.0,5.192,0.173,neutro,0.578,8
Rafael Guanaes,MIR,Técnico,Provável,6.97,-0.02,4.1,20,False,SAN,estavel,0.477,3.2,4.1,1.0,1.0,4.27,0.12,neutro,0.613,4
Léo Condé,REM,Técnico,Provável,7.83,-0.14,4.67,19,False,FLU,estavel,0.313,3.8,4.67,1.0,1.0,4.678,0.108,neutro,0.597,7
Eduardo Domínguez,CAM,Técnico,Provável,10.7,0.4,5.4,18,False,INT,estavel,0.174,8.2,5.4,1.0,1.0,5.614,-0.475,neutro,0.525,12
Rafael Lacerda,CHA,Técnico,Provável,8.13,0.41,4.15,4,True,SAO,estavel,0.264,6.6,4.15,1.0,0.5,4.514,-0.781,armadilha_leve,0.278,18
Rogério Ceni,BAH,Técnico,Provável,10.37,-0.24,5.45,22,False,VIT,estavel,0.239,5.2,5.45,1.0,1.0,5.376,-0.842,armadilha_leve,0.518,14
Franclim Carvalho,BOT,Técnico,Provável,10.72,-0.5,5.01,11,True,CAP,estavel,0.414,2.9,5.01,1.0,1.0,5.467,-0.934,armadilha_leve,0.51,15
Luís Castro,GRE,Técnico,Provável,8.9,-0.58,4.64,21,False,RBB,baixa,0.145,2.6,4.64,1.0,1.0,4.655,-1.332,armadilha_leve,0.523,13
Kauan,CHA,Zagueiro,Provável,0.64,-0.03,-1.05,2,True,SAO,estavel,0.264,0.0,0.0,0.0,0.25,0.874,2.207,valor_oculto,0.341,66
David Duarte,BAH,Zagueiro,Provável,6.23,-0.8,4.25,15,False,VIT,baixa,0.239,2.5,2.65,0.624,1.0,4.146,1.268,valor_bom,0.665,3
Jacy,CFC,Zagueiro,Provável,6.39,1.03,4.19,20,True,COR,alta,0.307,9.3,3.29,0.785,1.0,4.122,1.161,valor_bom,0.645,4
Domingos Duarte,SAO,Zagueiro,Provável,6.72,1.72,5.9,1,False,CHA,alta,0.27,5.9,5.9,1.0,0.125,4.168,1.069,valor_bom,0.078,90
Mercado,INT,Zagueiro,Provável,6.09,-0.29,3.76,14,True,CAM,estavel,0.442,2.7,2.69,0.715,1.0,3.83,0.929,valor_bom,0.629,6
Gustavo Marques,RBB,Zagueiro,Provável,7.16,-0.2,4.28,18,True,GRE,estavel,0.539,3.7,3.11,0.727,1.0,4.179,0.891,valor_bom,0.584,14
Noriega,GRE,Zagueiro,Provável,7.15,-0.8,4.21,16,False,RBB,baixa,0.145,1.7,2.96,0.703,1.0,4.124,0.824,valor_bom,0.577,17
Aguirre,CAP,Zagueiro,Provável,5.52,-1.07,3.68,18,False,BOT,baixa,0.281,0.6,2.51,0.682,1.0,3.402,0.67,valor_bom,0.616,10
