atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados,oportunidade_confronto,vantagem_mando,time_momentum_of,time_momentum_def,adv_momentum_of,adv_momentum_def,forma_score_time,prob_vitoria,prob_gols
147297,William Fernando,CRU,Lateral,6,1.0,0.0,0.0,0,0.0,False,False,PAL,0.629,valor_bom,0.0,0.0,0.0,32.2,desfavoravel,0.0,0.075,-57.2,1.2,0.6,0.48,0.5,0.75,0.095,0.455
144423,Nicolas Pontes,CRU,Lateral,6,1.0,0.0,0.0,0,0.0,False,False,PAL,0.629,valor_bom,0.0,0.0,0.0,32.2,desfavoravel,0.0,0.075,-57.2,1.2,0.6,0.48,0.5,0.75,0.095,0.455
39148,Hulk,FLU,Atacante,6,11.8,0.0,4.55,12,0.0,False,True,SAO,-0.426,neutro,4.631,2.63,1.0,63.4,neutro,5.87,0.375,45.9,0.96,1.35,0.857,1.688,0.5,0.488,
141776,Gustavo Henrique,SAN,Meia,5,2.56,0.0,1.57,6,0.0,False,True,CFC,0.316,neutro,1.276,1.57,0.75,68.3,favoravel,1.31,0.65,12.5,1.143,0.818,1.167,1.421,0.625,0.514,
106104,Enamorado,GRE,Atacante,6,7.53,0.18,3.83,14,3.0,True,False,BAH,0.478,neutro,4.166,3.12,1.0,35.0,desfavoravel,2.92,0.675,-30.4,0.2,0.529,0.98,1.4,0.375,0.253,0.504
142130,Marcelo Eráclito,CRU,Goleiro,6,1.0,0.0,0.0,0,0.0,False,False,PAL,0.567,valor_bom,0.0,0.0,0.0,29.4,desfavoravel,0.0,0.075,-57.2,1.2,0.6,0.48,0.5,0.75,0.095,0.455
147287,Kaiquy Luiz,CRU,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,False,PAL,0.579,valor_bom,0.0,0.0,0.0,30.1,desfavoravel,0.0,0.075,-57.2,1.2,0.6,0.48,0.5,0.75,0.095,0.455
133673,Mateus Xavier,SAN,Atacante,6,2.33,0.0,1.2,1,0.0,False,True,CFC,0.004,neutro,0.915,1.2,0.125,69.3,favoravel,0.16,0.65,12.5,1.143,0.818,1.167,1.421,0.625,0.514,
115025,Miguelito,SAN,Meia,6,3.6,0.18,1.5,6,1.5,True,True,CFC,0.005,neutro,1.719,1.5,0.75,68.3,favoravel,1.76,0.65,12.5,1.143,0.818,1.167,1.421,0.625,0.514,
146991,Rhuan Gabriel,CRU,Meia,6,1.39,0.0,1.2,1,0.0,False,False,PAL,1.362,valor_bom,1.071,1.2,0.125,27.1,desfavoravel,0.07,0.225,-57.2,1.2,0.6,0.48,0.5,0.75,0.095,0.455
100652,Yuri Alberto,COR,Atacante,7,11.04,0.66,2.8,11,6.5,True,False,BOT,-1.399,armadilha_leve,3.623,2.07,1.0,61.0,neutro,4.42,0.95,-11.1,1.154,0.8,1.077,0.83,0.625,0.212,0.431
123649,Janderson,CRU,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,False,PAL,0.579,valor_bom,0.0,0.0,0.0,30.1,desfavoravel,0.0,0.075,-57.2,1.2,0.6,0.48,0.5,0.75,0.095,0.455
142049,Bruno Alves,CRU,Zagueiro,6,2.0,0.0,0.0,0,0.0,False,False,PAL,-0.726,armadilha_leve,0.0,0.0,0.0,30.1,desfavoravel,0.0,0.075,-57.2,1.2,0.6,0.48,0.5,0.75,0.095,0.455
91639,Igor Cariús,MIR,Lateral,6,2.94,0.0,1.0,1,0.0,False,False,CAM,0.001,neutro,1.691,1.0,0.125,50.9,neutro,0.22,0.65,-34.9,1.05,0.84,0.667,1.286,0.55,0.361,
128433,Johan Rojas,VAS,Meia,3,3.68,-0.52,1.57,13,-1.0,True,False,INT,-0.085,neutro,1.689,1.19,1.0,41.3,neutro,1.4,0.45,-14.3,0.857,0.714,1.312,1.125,0.625,0.259,0.46
94583,Pedro,FLA,Atacante,7,16.23,-1.79,8.44,13,0.4,True,False,CAP,1.354,valor_bom,7.036,2.36,1.0,31.8,desfavoravel,4.47,0.1,-12.5,1.141,0.7,0.75,0.562,0.875,0.223,0.438
86292,Bolasie,CHA,Atacante,3,3.81,-1.59,1.81,12,-1.1,True,True,REM,-0.085,neutro,1.954,0.73,1.0,52.4,neutro,2.05,0.85,8.4,0.8,1.141,1.125,0.96,0.15,0.402,0.504
101908,Willian Machado,MIR,Zagueiro,6,5.54,1.09,2.85,11,6.5,True,False,CAM,0.105,neutro,2.779,2.4,1.0,49.3,neutro,2.74,0.65,-34.9,1.05,0.84,0.667,1.286,0.55,0.361,
103445,Kaio Jorge,CRU,Atacante,7,11.5,-1.58,4.45,10,2.0,True,False,PAL,-0.395,neutro,4.585,2.05,1.0,27.3,desfavoravel,2.5,0.225,-57.2,1.2,0.6,0.48,0.5,0.75,0.095,0.455
112367,Thalisson Gabriel,REM,Zagueiro,6,3.0,0.0,0.0,0,0.0,False,False,CHA,-1.651,armadilha_forte,0.0,0.0,0.0,56.8,neutro,0.0,0.7,-8.4,1.125,0.96,0.8,1.141,0.45,0.359,0.504
145400,Cauê,RBB,Lateral,6,4.23,0.0,3.47,3,0.0,False,True,VIT,0.811,valor_bom,3.402,2.47,0.375,65.1,favoravel,1.66,0.7,33.3,1.235,1.333,1.4,0.84,0.4,0.549,0.469
118655,Saldivia,VAS,Zagueiro,6,5.08,0.0,2.1,9,0.0,False,False,INT,-0.146,neutro,2.374,2.1,1.0,62.2,neutro,2.95,0.95,-14.3,0.857,0.714,1.312,1.125,0.625,0.259,0.46
108713,Galeano,MIR,Atacante,6,4.65,0.03,1.32,9,0.5,True,False,CAM,-0.939,armadilha_leve,1.72,1.32,1.0,58.6,neutro,2.02,0.9,-34.9,1.05,0.84,0.667,1.286,0.55,0.361,
114802,Vitor Roque,PAL,Atacante,5,17.01,0.0,7.6,7,0.0,False,True,CRU,0.067,neutro,6.082,4.17,0.875,65.0,favoravel,6.92,0.95,57.2,0.48,0.5,1.2,0.6,0.675,0.558,0.455
78946,Dória,SAO,Zagueiro,7,6.7,-0.52,2.37,3,2.1,True,False,FLU,0.241,neutro,3.329,1.37,0.375,14.7,desfavoravel,0.37,0.175,-45.9,0.857,1.688,0.96,1.35,0.325,0.256,
81121,Lucas Mugni,MIR,Meia,6,7.0,0.0,0.0,0,0.0,False,False,CAM,-3.781,armadilha_forte,0.0,0.0,0.0,58.7,neutro,0.0,0.9,-34.9,1.05,0.84,0.667,1.286,0.55,0.361,
126182,Paulinho,INT,Meia,5,4.3,0.0,2.42,12,0.0,False,True,VAS,0.114,neutro,2.205,2.42,1.0,63.9,favoravel,2.82,0.75,14.3,1.312,1.125,0.857,0.714,0.55,0.461,0.46
115986,Denilson,MIR,Meia,6,4.33,0.17,1.8,7,3.7,True,False,CAM,-0.324,neutro,1.844,1.8,0.875,58.7,neutro,1.89,0.9,-34.9,1.05,0.84,0.667,1.286,0.55,0.361,
131516,JP Chermont,CFC,Lateral,6,4.94,0.0,3.37,9,0.0,False,False,SAN,0.323,neutro,3.373,1.81,1.0,45.1,neutro,3.04,0.575,-12.5,1.167,1.421,1.143,0.818,0.35,0.355,
132412,Román Gómez,BAH,Lateral,6,8.47,0.0,7.1,2,0.0,False,True,GRE,1.177,valor_bom,5.74,5.6,0.25,76.8,favoravel,2.2,0.925,30.4,0.98,1.4,0.2,0.529,0.325,0.527,0.504
130280,Phillipe Gabriel,VAS,Goleiro,6,1.0,0.0,0.0,0,0.0,False,False,INT,0.567,valor_bom,0.0,0.0,0.0,62.8,neutro,0.0,0.95,-14.3,0.857,0.714,1.312,1.125,0.625,0.259,0.46
133696,Wallace Davi,BOT,Meia,6,4.0,0.0,0.0,0,0.0,False,True,COR,-2.266,armadilha_forte,0.0,0.0,0.0,34.4,neutro,0.0,0.125,11.1,1.077,0.83,1.154,0.8,0.45,0.427,0.431
94514,Lucas Oliveira,MIR,Zagueiro,7,5.11,0.0,3.6,4,0.0,False,False,CAM,0.575,valor_bom,2.988,2.1,0.5,49.3,neutro,1.47,0.65,-34.9,1.05,0.84,0.667,1.286,0.55,0.361,
90061,Bruno Pacheco,CHA,Lateral,7,4.89,-1.6,2.53,6,-1.7,True,True,REM,-0.03,neutro,3.014,1.7,0.75,53.6,neutro,2.42,0.65,8.4,0.8,1.141,1.125,0.96,0.15,0.402,0.504
126120,Marcelinho,RBB,Meia,6,3.11,0.0,2.93,3,0.0,False,True,VIT,0.19,neutro,1.566,1.26,0.375,77.3,favoravel,0.91,1.0,33.3,1.235,1.333,1.4,0.84,0.4,0.549,0.469
147090,Kauã Pascini,CAM,Lateral,6,2.64,0.0,2.17,3,0.0,False,True,MIR,0.492,neutro,1.885,1.17,0.375,57.1,neutro,0.81,0.525,34.9,0.667,1.286,1.05,0.84,0.4,0.454,
114040,Minda,CAM,Atacante,6,7.21,-1.14,3.32,7,1.5,True,True,MIR,0.52,valor_bom,4.085,2.18,0.875,46.2,neutro,3.3,0.5,34.9,0.667,1.286,1.05,0.84,0.4,0.454,
94154,Maycon,CAM,Meia,7,5.39,-1.11,2.38,8,0.5,True,True,MIR,-0.574,armadilha_leve,2.132,1.75,1.0,45.6,neutro,1.94,0.5,34.9,0.667,1.286,1.05,0.84,0.4,0.454,
141139,Mateus Iseppe,CAM,Meia,6,2.0,0.0,0.0,0,0.0,False,True,MIR,-0.619,armadilha_leve,0.0,0.0,0.0,45.6,neutro,0.0,0.5,34.9,0.667,1.286,1.05,0.84,0.4,0.454,
146894,João Bom,CHA,Atacante,6,2.0,0.0,0.0,0,0.0,False,True,REM,-0.705,armadilha_leve,0.0,0.0,0.0,52.4,neutro,0.0,0.85,8.4,0.8,1.141,1.125,0.96,0.15,0.402,0.504
51413,Walter,MIR,Goleiro,7,5.85,0.53,2.98,13,4.2,True,False,CAM,0.456,neutro,3.419,2.98,1.0,49.4,neutro,3.38,0.65,-34.9,1.05,0.84,0.667,1.286,0.55,0.361,
70666,Marllon,REM,Zagueiro,7,5.3,-0.41,3.03,15,-0.3,True,False,CHA,0.382,neutro,2.909,2.43,1.0,56.8,neutro,3.3,0.7,-8.4,1.125,0.96,0.8,1.141,0.45,0.359,0.504
83433,Patrick,REM,Meia,7,5.42,-0.17,3.08,12,6.5,True,False,CHA,-0.042,neutro,2.601,3.08,1.0,66.1,neutro,3.44,1.0,-8.4,1.125,0.96,0.8,1.141,0.45,0.359,0.504
102909,Luan,SAO,Meia,6,3.0,-0.02,1.12,6,1.4,True,False,FLU,-0.285,neutro,1.083,1.12,0.75,38.2,desfavoravel,0.62,0.575,-45.9,0.857,1.688,0.96,1.35,0.325,0.256,
100342,Léo Andrade,REM,Zagueiro,6,4.79,0.0,2.95,4,0.0,False,False,CHA,0.488,neutro,2.771,2.95,0.5,56.8,neutro,1.57,0.7,-8.4,1.125,0.96,0.8,1.141,0.45,0.359,0.504
130048,Noriega,GRE,Zagueiro,6,7.65,-0.93,4.7,11,1.6,True,False,BAH,1.002,valor_bom,4.274,2.88,1.0,37.8,desfavoravel,3.23,0.45,-30.4,0.2,0.529,0.98,1.4,0.375,0.253,0.504
103183,Andrew,FLA,Goleiro,6,3.0,0.0,0.0,0,0.0,False,False,CAP,-1.216,armadilha_leve,0.0,0.0,0.0,42.3,neutro,0.0,0.175,-12.5,1.141,0.7,0.75,0.562,0.875,0.223,0.438
91251,Rodrigues,MIR,Zagueiro,6,3.81,0.0,1.0,2,0.0,False,False,CAM,-0.516,armadilha_leve,1.439,1.0,0.25,49.3,neutro,0.35,0.65,-34.9,1.05,0.84,0.667,1.286,0.55,0.361,
116034,Victor Hugo,CAM,Meia,5,7.04,0.0,4.19,13,0.0,False,True,MIR,1.056,valor_bom,4.167,2.65,1.0,45.6,neutro,3.8,0.5,34.9,0.667,1.286,1.05,0.84,0.4,0.454,
141873,Jacaré,COR,Lateral,6,2.0,0.0,0.0,0,0.0,False,False,BOT,-0.826,armadilha_leve,0.0,0.0,0.0,36.5,desfavoravel,0.0,0.075,-11.1,1.154,0.8,1.077,0.83,0.625,0.212,0.431
93988,Breno Lopes,CFC,Atacante,6,8.91,0.0,4.82,12,0.0,False,False,SAN,0.683,valor_bom,4.793,1.49,1.0,41.5,neutro,3.98,0.45,-12.5,1.167,1.421,1.143,0.818,0.35,0.355,
70449,Gabriel,VIT,Goleiro,6,5.6,0.0,2.2,2,0.0,False,False,RBB,0.843,valor_bom,3.745,0.0,0.25,40.9,neutro,0.77,0.45,-33.3,1.4,0.84,1.235,1.333,0.575,0.34,0.469
69208,Gabriel Paulista,COR,Zagueiro,3,9.4,0.25,4.73,11,1.7,True,False,BOT,0.431,neutro,4.292,3.09,1.0,34.5,desfavoravel,2.96,0.075,-11.1,1.154,0.8,1.077,0.83,0.625,0.212,0.431
103388,Emmanuel Martínez,VIT,Meia,7,7.19,0.06,4.25,10,4.0,True,False,RBB,1.031,valor_bom,4.197,4.25,1.0,58.3,neutro,4.89,0.675,-33.3,1.4,0.84,1.235,1.333,0.575,0.34,0.469
106302,Preciado,CAM,Lateral,6,7.2,0.0,4.0,7,0.0,False,True,MIR,-0.519,armadilha_leve,3.668,3.14,0.875,57.1,neutro,3.67,0.525,34.9,0.667,1.286,1.05,0.84,0.4,0.454,
141614,Paulinho,SAO,Atacante,6,2.0,0.0,0.0,0,0.0,False,False,FLU,-0.705,armadilha_leve,0.0,0.0,0.0,38.3,desfavoravel,0.0,0.575,-45.9,0.857,1.688,0.96,1.35,0.325,0.256,
105089,Tetê,GRE,Atacante,6,9.12,0.0,3.6,12,0.0,False,False,BAH,-0.258,neutro,4.061,2.93,1.0,35.0,desfavoravel,2.84,0.675,-30.4,0.2,0.529,0.98,1.4,0.375,0.253,0.504
89256,Gerson,CRU,Meia,7,9.39,0.87,4.19,14,7.5,True,False,PAL,0.23,neutro,4.168,3.83,1.0,27.1,desfavoravel,2.26,0.225,-57.2,1.2,0.6,0.48,0.5,0.75,0.095,0.455
106708,Igor Formiga,MIR,Lateral,7,7.89,0.17,4.52,13,5.0,True,False,CAM,0.458,neutro,4.855,3.6,1.0,50.9,neutro,4.94,0.65,-34.9,1.05,0.84,0.667,1.286,0.55,0.361,
147864,Rafael Monti,REM,Atacante,6,3.56,0.0,0.0,1,0.0,False,False,CHA,0.075,neutro,1.928,0.0,0.125,65.9,neutro,0.32,1.0,-8.4,1.125,0.96,0.8,1.141,0.45,0.359,0.504
147194,Bruninho,CAP,Meia,7,2.68,-0.26,1.63,8,0.9,True,True,FLA,0.287,neutro,1.343,1.63,1.0,25.1,neutro,0.67,0.125,12.5,0.75,0.562,1.141,0.7,0.425,0.285,0.438
105157,Villagra,INT,Meia,7,5.84,0.11,2.4,10,2.3,True,True,VAS,0.415,neutro,3.169,2.4,1.0,63.9,favoravel,4.05,0.75,14.3,1.312,1.125,0.857,0.714,0.55,0.461,0.46
95362,Cassierra,CAM,Atacante,7,7.06,0.25,2.32,12,10.7,True,True,MIR,-0.351,neutro,3.293,0.57,1.0,46.2,neutro,3.04,0.5,34.9,0.667,1.286,1.05,0.84,0.4,0.454,
71536,Luiz Gustavo,CAP,Meia,2,6.78,-0.57,3.75,11,5.2,True,True,FLA,0.863,valor_bom,3.91,2.84,1.0,25.1,neutro,1.96,0.125,12.5,0.75,0.562,1.141,0.7,0.425,0.285,0.438
89918,Everton Galdino,MIR,Atacante,6,3.63,1.08,1.45,6,5.7,True,False,CAM,-0.059,neutro,1.861,1.45,0.75,58.6,neutro,1.64,0.9,-34.9,1.05,0.84,0.667,1.286,0.55,0.361,
