atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados,oportunidade_confronto,vantagem_mando,time_momentum_of,time_momentum_def,adv_momentum_of,adv_momentum_def,forma_score_time,prob_vitoria,prob_gols
141776,Gustavo Henrique,SAN,Meia,3,2.48,-0.24,1.5,8,0.6,True,True,VIT,0.365,neutro,1.269,1.5,1.0,77.5,favoravel,1.97,1.0,39.4,1.035,1.093,1.44,1.164,0.325,0.0,
80287,Luciano,SAO,Atacante,5,14.14,-0.44,5.44,14,7.0,True,False,REM,-0.39,neutro,5.259,1.65,1.0,59.0,neutro,6.21,0.875,0.4,1.035,1.53,1.19,0.907,0.325,0.0,
100652,Yuri Alberto,COR,Atacante,7,9.69,-0.48,2.5,13,0.2,True,False,GRE,-1.208,armadilha_leve,3.43,1.88,1.0,42.6,neutro,2.92,0.4,-41.6,1.587,1.322,0.895,0.68,0.6,0.0,
106104,Enamorado,GRE,Atacante,7,7.16,-0.47,3.69,16,1.4,True,True,COR,0.467,neutro,4.107,3.06,1.0,51.1,neutro,4.2,0.275,41.6,0.895,0.68,1.587,1.322,0.6,0.0,
39148,Hulk,FLU,Atacante,6,11.8,0.0,4.55,12,0.0,False,False,CRU,-0.421,neutro,4.706,2.63,1.0,47.1,neutro,4.43,0.775,-14.8,0.85,1.082,1.035,0.85,0.45,0.0,
123649,Janderson,CRU,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,True,FLU,0.49,neutro,0.0,0.0,0.0,52.5,neutro,0.0,0.325,14.8,1.035,0.85,0.85,1.082,0.575,0.0,
133673,Mateus Xavier,SAN,Atacante,6,2.33,0.0,1.2,1,0.0,False,True,VIT,-0.038,neutro,0.85,1.2,0.125,78.8,neutro,0.17,1.0,39.4,1.035,1.093,1.44,1.164,0.325,0.0,
128433,Johan Rojas,VAS,Meia,7,3.81,0.13,1.52,14,0.8,True,True,CAM,-0.26,neutro,1.652,1.16,1.0,30.5,neutro,1.01,0.2,37.1,0.618,1.214,1.133,1.183,0.275,0.0,
146991,Rhuan Gabriel,CRU,Meia,6,1.39,0.0,1.2,1,0.0,False,True,FLU,1.373,valor_bom,1.056,1.2,0.125,51.2,neutro,0.14,0.475,14.8,1.035,0.85,0.85,1.082,0.575,0.0,
103445,Kaio Jorge,CRU,Atacante,7,12.24,1.19,4.6,12,9.7,True,True,FLU,-0.505,armadilha_leve,4.736,1.93,1.0,52.3,neutro,4.95,0.475,14.8,1.035,0.85,0.85,1.082,0.575,0.0,
142049,Bruno Alves,CRU,Zagueiro,6,2.0,0.0,0.0,0,0.0,False,True,FLU,-0.78,armadilha_leve,0.0,0.0,0.0,52.5,neutro,0.0,0.325,14.8,1.035,0.85,0.85,1.082,0.575,0.0,
147297,William Fernando,CRU,Lateral,6,1.0,0.0,0.0,0,0.0,False,True,FLU,0.314,neutro,0.0,0.0,0.0,51.9,neutro,0.0,0.325,14.8,1.035,0.85,0.85,1.082,0.575,0.0,
